OBJECTID_1,FID_spireM,OBJECTID,LEAKSURVEY,LEAKSURV_1,LASTSURVEY,LEAKSURV_2,SURVEYAREA,TARGETMONT,COMMENTS,SURVEYCYCL,HCA,SHAPE_Leng,Polygon,FID_techFi,OBJECTID__,Survey_Typ,Leak_Locat,Leak_Grade,Marked_Fla,Leak_Loc_1,Probable_S,Gas_In,Surface_Ty,CGI_Test_G,CGI_Test_L,CGI_Test_P,Detected_B,Meter_Numb,Confirm_Me,House_Numb,Street,Street_2,Apt_Suite,City,Comments_1,Survey_Yea,Survey_Con,Grade_1_No,PRESSURETY,CreationDa,Creator,EditDate,Editor,NOTIFICATI,REPORTNUMB,NOTSTATUS,Work_Locat,X,Y,geometry
13,15,11,BGH 5YR 3,NA,NA,NA,NA,NA,NA,NA,N,27366.5592668,11,214,24333,5 Year,Underground,Grade 3,No,Service,Service,<Null>,<Null>,<Null>,4,242,CGI,<Null>,<Null>,2815,Fairfax Ave,<Null>,<Null>,<Null>,Riser Only; 4% LEL,2020,Southern Cross,<Null>,<Null>,2020-06-02,Joel.Gibson1,2020-06-02,Joel.Gibson1,10584134,9200024333,<Null>,<Null>,-86.934322,33.406771,"c(-86.934322, 33.406771)"
14,15,11,BGH 5YR 3,NA,NA,NA,NA,NA,NA,NA,N,27366.5592668,11,216,24656,5 Year,Underground,Grade 3,No,<Null>,Service,<10' FRM Building,Concrete,<Null>,52,432,CGI,BA664517,BA664517,725,32ND CT S,<Null>,<Null>,<Null>,52% LEL,2020,Southern Cross,<Null>,<Null>,2020-06-10,Joel.Gibson1,2020-06-10,Joel.Gibson1,10584147,9200024656,<Null>,<Null>,-86.928863,33.408599,"c(-86.928863, 33.408599)"
15,15,11,BGH 5YR 3,NA,NA,NA,NA,NA,NA,NA,N,27366.5592668,11,221,25002,5 Year,Underground,Grade 3,No,Service Riser,<Null>,<Null>,Unsurfaced,<Null>,4,332,CGI,<Null>,<Null>,316,30TH ST S,<Null>,<Null>,<Null>,4% LEL,2020,Southern Cross,<Null>,<Null>,2020-06-17,Joel.Gibson1,2020-06-17,Joel.Gibson1,10584161,9200025002,<Null>,<Null>,-86.936448,33.41034,"c(-86.936448, 33.4103400000001)"
16,15,11,BGH 5YR 3,NA,NA,NA,NA,NA,NA,NA,N,27366.5592668,11,215,24339,5 Year,Underground,Grade 3,Yes,Service Riser,Service,<10' FRM Building,Concrete,<Null>,10,423,CGI,<Null>,<Null>,3201,Fairfax Ave,<Null>,<Null>,<Null>,10% LEL,2020,Southern Cross,<Null>,<Null>,2020-06-02,Joel.Gibson1,2020-06-02,Joel.Gibson1,10584136,9200024339,<Null>,<Null>,-86.930963,33.410849,"c(-86.930963, 33.410849)"
17,15,11,BGH 5YR 3,NA,NA,NA,NA,NA,NA,NA,N,27366.5592668,11,219,24993,5 Year,Underground,Grade 3,No,Service Riser,<Null>,<10' FRM Building,Unsurfaced,<Null>,8,332,Soap,<Null>,<Null>,222,30TH ST S,<Null>,<Null>,<Null>,8% LEL,2020,Southern Cross,<Null>,<Null>,2020-06-16,Joel.Gibson1,2020-06-16,Joel.Gibson1,10584158,9200024993,<Null>,<Null>,-86.937711,33.411053,"c(-86.937711, 33.411053)"
18,15,11,BGH 5YR 3,NA,NA,NA,NA,NA,NA,NA,N,27366.5592668,11,218,24974,5 Year,Underground,Grade 3,Yes,<Null>,Main,Street,Tar Mix,<Null>,80,<Null>,CGI,<Null>,<Null>,3328,AVENUE E,<Null>,<Null>,<Null>,80% LEL,2020,Southern Cross,<Null>,<Null>,2020-06-15,Joel.Gibson1,2020-06-15,Joel.Gibson1,10584154,9200024974,<Null>,<Null>,-86.924621,33.414881,"c(-86.9246209999999, 33.414881)"
19,15,11,BGH 5YR 3,NA,NA,NA,NA,NA,NA,NA,N,27366.5592668,11,217,24971,5 Year,Underground,Grade 3,No,Service Riser,Service,<Null>,Unsurfaced,<Null>,4,<Null>,CGI,<Null>,<Null>,3324,SHORT AVENUE D,<Null>,<Null>,<Null>,4% LEL,2020,Southern Cross,<Null>,<Null>,2020-06-15,Joel.Gibson1,2020-06-15,Joel.Gibson1,10584153,9200024971,<Null>,<Null>,-86.925778,33.414917,"c(-86.925778, 33.4149170000001)"
20,15,11,BGH 5YR 3,NA,NA,NA,NA,NA,NA,NA,N,27366.5592668,11,222,25009,5 Year,Underground,Grade 3,No,Service Riser,Service,<10' FRM Building,Unsurfaced,<Null>,12,442,CGI,BA769659,BA769659,3408,SOLES CT,<Null>,<Null>,<Null>,12% LEL,2020,Southern Cross,<Null>,<Null>,2020-06-18,Joel.Gibson1,2020-06-18,Joel.Gibson1,10584163,9200025009,<Null>,<Null>,-86.932246,33.415789,"c(-86.932246, 33.4157890000001)"
21,15,11,BGH 5YR 3,NA,NA,NA,NA,NA,NA,NA,N,27366.5592668,11,140,21846,Aldyl A,Underground,Grade 3,Yes,<Null>,Main,Curb,Unsurfaced,11,<Null>,<Null>,CGI,0,0,6103,5th St S,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2020-03-19,keith.jones1,2020-03-19,keith.jones1,10580655,9200021846,<Null>,<Null>,-86.922494,33.422261,"c(-86.922494, 33.422261)"
