,Time Stamp,CH4 (ppm),C2H6 (ppb),R,C2/C1,ch4Enhcmt,totDist,length,lrate,npeaks,Latitude,Longitude
0,06/16/2020 23:26:07.608,4.53517,34.047,0.997,0.008,2.48,227.6,14,59.0,3,33.7068405151,-86.5883483887
1,06/16/2020 23:23:41.176,2.56805,20.315,0.945,0.009,0.544,172.9,10,19.1,2,33.7056045532,-86.6079483032
2,06/15/2020 23:27:51.048,2.25139,12.803,0.838,0.014,0.221,170.8,13,3.0,1,33.7030982971,-86.6028518677
3,06/16/2020 00:10:45.076,2.30605,4.166,0.901,0.008,0.301,235.6,14,4.3,1,33.7029800415,-86.5475158691
4,06/16/2020 23:27:12.222,2.50858,18.8,0.981,0.011,0.455,197.8,19,2.6,1,33.7075042725,-86.5873947144
5,06/16/2020 23:44:16.836,2.05276,4.261,0.749,0.008,0.038,31.8,5,0.1,1,33.6796417236,-86.5649337769
6,06/16/2020 23:50:59.780,3.65674,8.187,0.947,0.002,1.623,90.6,17,8.7,1,33.6780014038,-86.5537109375
7,06/16/2020 23:54:01.131,2.17194,5.908,0.765,0.01,0.149,55.7,7,0.5,1,33.6822090149,-86.5501480103
8,06/17/2020 00:05:51.684,2.42073,4.098,0.931,0.005,0.415,134.5,28,3.0,1,33.6959037781,-86.5420303345
9,06/17/2020 22:13:52.025,2.05068,6.981,0.752,0.017,0.072,95.2,6,0.7,1,33.7041282654,-86.6036987305
