,Time Stamp,CH4 (ppm),C2H6 (ppb),R,C2/C1,ch4Enhcmt,totDist,length,lrate,npeaks,Latitude,Longitude
0,06/30/2020 01:48:04.000,2.32648,3.071,0.82,0.005,0.421,180.8,16,5.9,2,33.6799087524,-86.6851654053
1,06/30/2020 01:56:21.664,3.44282,3.208,0.792,0.001,1.545,113.5,20,18.7,5,33.6790466309,-86.6860046387
2,07/01/2020 23:54:36.584,2.68749,12.03,0.968,0.008,0.692,291.5,18,13.9,2,33.6812705994,-86.6786270142
3,07/01/2020 23:25:29.537,2.91359,1.776,0.945,0.003,0.977,186.5,22,15.4,3,33.6792373657,-86.6866836548
4,06/30/2020 01:48:58.272,2.40686,3.566,0.898,0.006,0.496,121.1,13,4.1,1,33.6829223633,-86.6898651123
5,06/30/2020 22:02:21.534,1.90251,5.02,0.753,0.02,0.01,50.1,5,0.1,1,33.67735672,-86.6866531372
6,07/01/2020 23:08:38.747,1.93595,3.791,0.856,0.027,0.016,140.2,8,0.0,1,33.6415672302,-86.624206543
7,07/01/2020 23:10:20.123,2.20191,8.188,0.921,0.008,0.301,423.1,23,20.8,1,33.6508865356,-86.6361694336
8,07/01/2020 23:11:36.104,1.94559,8.339,0.798,0.027,0.045,96.5,7,0.4,1,33.6545562744,-86.6474304199
9,07/01/2020 23:11:54.536,2.39397,10.913,0.94,0.006,0.493,208.4,13,18.1,1,33.6542701721,-86.6504211426
10,07/01/2020 23:12:18.088,2.03351,9.127,0.762,0.011,0.132,180.2,10,3.2,1,33.6532211304,-86.6543502808
11,07/01/2020 23:12:46.862,1.9927,10.037,0.934,0.02,0.092,313.5,16,4.7,1,33.6538734436,-86.659576416
12,07/01/2020 23:13:06.318,1.98863,9.98,0.777,0.009,0.078,109.7,6,1.3,1,33.6564674377,-86.6615447998
13,07/01/2020 23:13:43.182,1.96628,9.591,0.877,0.013,0.051,149.7,8,1.2,1,33.6621551514,-86.6637268066
14,07/01/2020 23:14:24.142,2.32499,13.233,0.986,0.012,0.41,187.4,11,11.6,1,33.6684570312,-86.6653900146
15,07/01/2020 23:15:51.182,2.01792,5.474,0.943,0.029,0.088,176.5,11,1.9,1,33.6786689758,-86.6728134155
16,07/01/2020 23:16:34.292,2.52714,5.37,0.965,0.008,0.597,356.8,24,25.9,1,33.6814460754,-86.6792755127
17,07/01/2020 23:17:34.708,1.97518,-0.704,0.75,0.017,0.045,63.1,6,0.2,1,33.684677124,-86.6826782227
18,07/01/2020 23:18:39.220,2.17396,-2.173,0.876,0.007,0.245,286.1,20,4.7,1,33.6776390076,-86.6813735962
19,07/01/2020 23:44:25.256,2.07181,0.688,0.734,0.012,0.092,0.7,5,0.0,1,33.6673316956,-86.683883667
