X1,FID_spireM,OBJECTID,LEAKSURVEY,LEAKSURV_1,LASTSURVEY,LEAKSURV_2,SURVEYAREA,TARGETMONT,COMMENTS,SURVEYCYCL,HCA,SHAPE_Leng,Polygon,FID_techFi,OBJECTID__,Survey_Typ,Leak_Locat,Leak_Grade,Marked_Fla,Leak_Loc_1,Probable_S,Gas_In,Surface_Ty,CGI_Test_G,CGI_Test_L,CGI_Test_P,Detected_B,Meter_Numb,Confirm_Me,House_Numb,Street,Street_2,Apt_Suite,City,Comments_1,Survey_Yea,Survey_Con,Grade_1_No,PRESSURETY,CreationDa,Creator,EditDate,NOTIFICATI,REPORTNUMB,NOTSTATUS,Work_Locat,X,Y
12,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,86,21476,3 Year,Underground,Grade 1,No,<Null>,Main,10' - 20' FRM Building,Unsurfaced,55,<Null>,<Null>,CGI,N/A - Riser only,N/A - Riser only,2129,31ST AVE N,22nd St. N.,<Null>,<Null>,"On/near gas pipeline, gas detected from water valve box, customer expressed concern",2020,Southern Cross,<Null>,<Null>,2020-03-11,Jackie.Butts1,2020-03-11,10580045,9200021476,<Null>,<Null>,-86.824128,33.550751
13,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,78,21457,3 Year,Underground,Grade 2,No,<Null>,Main,Street,Tar Mix,50,<Null>,<Null>,CGI,<Null>,<Null>,2129,31ST AVE N,22nd St. N.,<Null>,<Null>,"Gas detected from cracks/holes in street, near patch in street intersection of 31st Ave & 22nd",2020,Southern Cross,<Null>,<Null>,2020-03-09,Jackie.Butts1,2020-03-09,10580265,9200021457,<Null>,<Null>,-86.82424499999999,33.55108
14,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,0,20188,3 Year,Underground,Grade 3,No,<Null>,Meter,<10' FRM Building,Unsurfaced,<Null>,<Null>,347,CGI,CB 14179,CB 14179,2821,29TH AVE N,<Null>,<Null>,BIRMINGHAM,Shut off/service cock,2020,Southern Cross,<Null>,<Null>,2020-02-12,Jackie.Butts1,2020-02-12,10578853,9200020188,<Null>,<Null>,-86.813353,33.551190000000005
15,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,64,21182,3 Year,Underground,Grade 3,No,Valve,Main,Street,Tar Mix,<Null>,<Null>,150,CGI,<Null>,<Null>,2500,30TH AVE N,<Null>,<Null>,<Null>,Gas valve; SW corner 30th Ave & 25th St,2020,Southern Cross,<Null>,<Null>,2020-02-27,Jackie.Butts1,2020-02-27,10579668,9200021182,<Null>,<Null>,-86.819445,33.551251
16,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,115,21573,3 Year,Underground,Grade 3,No,Valve,Main,Street,Tar Mix,<Null>,<Null>,25,CGI,<Null>,<Null>,1928,33rd Ave N,30th St. N,<Null>,<Null>,Gas valve in street,2020,Southern Cross,<Null>,<Null>,2020-03-06,Jackie.Butts1,2020-03-06,10580316,9200021573,<Null>,<Null>,-86.827952,33.552284
17,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,65,21184,3 Year,Underground,Grade 2,No,Main,Main,Curb,Unsurfaced,78,<Null>,<Null>,CGI,<Null>,<Null>,3100,25TH ST N,31st Ave. N,<Null>,<Null>,"15+ ft. from residence, at curb, gas odor; Intersection of 25th St & 31st Ave",2020,Southern Cross,<Null>,<Null>,2020-02-27,Jackie.Butts1,2020-02-27,10579670,9200021184,<Null>,<Null>,-86.819927,33.552369
18,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,117,21584,3 Year,Underground,Grade 2,No,Main,Main,Street,Unsurfaced,50,<Null>,<Null>,CGI,NA,NA,3220,22ND ST N,Between 32nd Ave. N. and 33rd Ave. N,NA,<Null>,"Vacant lot, slight gas odor, gas detected along pipeline; on 22nd bet. 32nd & 33rd near alley",2020,Southern Cross,<Null>,<Null>,2020-03-06,Jackie.Butts1,2020-03-06,10580322,9200021584,<Null>,<Null>,-86.824887,33.552609000000004
19,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,59,21164,3 Year,Underground,Grade 3,No,Service Riser,Meter,<10' FRM Building,Unsurfaced,<Null>,2,<Null>,CGI,RISER ONLY,RISER ONLY,2417,32ND AVE N,<Null>,<Null>,<Null>,RISER ONLY,2020,Southern Cross,<Null>,<Null>,2020-02-27,Jackie.Butts1,2020-02-27,10579657,9200021164,<Null>,<Null>,-86.820771,33.552928
20,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,63,21181,3 Year,Underground,Grade 3,No,Main,Main,Street,Tar Mix,<Null>,4,<Null>,CGI,<Null>,<Null>,3112,25TH ST N,<Null>,<Null>,<Null>,Hole in street,2020,Southern Cross,<Null>,<Null>,2020-02-27,Jackie.Butts1,2020-02-27,10579667,9200021181,<Null>,<Null>,-86.82023000000001,33.552962
21,7,3,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,22816.6869893,3,56,21159,3 Year,Underground,Grade 3,No,Main,Main,Sanitary Manhole,<Null>,<Null>,<Null>,50,CGI,<Null>,<Null>,2429,32ND AVE N,<Null>,<Null>,<Null>,"City of Birmingham Storm Sewer, methane detected",2020,Southern Cross,<Null>,<Null>,2020-02-26,Jackie.Butts1,2020-02-26,10579655,9200021159,<Null>,<Null>,-86.820429,33.553351
