,Unnamed: 0,lat,lon,POLYGON,portion
0,0.0,-86.67523473589432,33.58904677948533,P48,1
1,1.0,-86.67575226875215,33.58816637917511,P48,1
2,2.0,-86.67593694543365,33.58722729540341,P48,1
3,3.0,-86.67605872712852,33.58682135582097,P48,1
4,4.0,-86.67596035568585,33.586572356029485,P48,1
5,5.0,-86.67601813353001,33.58641541533922,P48,1
6,6.0,-86.67593694543365,33.585481753580105,P48,1
7,7.0,-86.67764189275907,33.58519759569253,P48,1
8,8.0,-86.6781290213372,33.58365502366047,P48,1
9,9.0,-86.67991515675901,33.58170651204597,P48,1
10,10.0,-86.68101119471083,33.581300572463476,P48,1
11,11.0,-86.68275673653416,33.580651068591976,P48,1
12,12.0,-86.68401514977931,33.581950076335026,P48,1
13,13.0,-86.68511118773108,33.582437204013786,P48,1
14,14.0,-86.68673494785952,33.58211245252773,P48,1
15,15.0,-86.68697851214857,33.58125997796566,P48,1
16,16.0,-86.68636960187557,33.58020453451172,P48,1
17,17.0,-86.68588247419676,33.579027308463594,P48,1
18,18.0,-86.68584187969894,33.576916420656346,P48,1
19,19.0,-86.68657257166683,33.575495631218466,P48,1
20,20.0,-86.68856167777916,33.575170878833035,P48,1
21,21.0,-86.69152503924913,33.574967909041845,P48,1
22,22.0,-86.69347761400064,33.57500406808333,P48,1
23,23.0,-86.6951784981891,33.57651048107391,P48,1
24,24.0,-86.69513146364609,33.577668300651624,P48,1
25,25.0,-86.69583340518743,33.57862008464923,P48,1
26,26.0,-86.69654724296083,33.57915546365376,P48,1
27,27.0,-86.69684467574116,33.58092816230487,P48,1
28,28.0,-86.69689226516584,33.58304588226173,P48,1
29,29.0,-86.69700522810876,33.58560353527497,P48,1
30,30.0,-86.69729632156793,33.58688229028553,P48,1
31,31.0,-86.69734380307403,33.587872972659625,P48,1
32,32.0,-86.69734414211841,33.587875180495246,P48,1
33,33.0,-86.69734423025199,33.58787706997083,P48,1
34,34.0,-86.69734464933607,33.58788599034625,P48,1
35,35.0,-86.69734707121034,33.58793759074729,P48,1
36,36.0,-86.69736567278757,33.58849353454906,P48,1
37,37.0,-86.69740688961622,33.589125730068425,P48,1
38,38.0,-86.69740701821928,33.589128053916625,P48,1
39,39.0,-86.69740714862098,33.58912948473801,P48,1
40,40.0,-86.69740901021758,33.589149819308766,P48,1
41,41.0,-86.6974126039085,33.58918909360182,P48,1
42,42.0,-86.69741072612408,33.589242574485304,P48,1
43,43.0,-86.69740711714468,33.58934534271344,P48,1
44,44.0,-86.69739274957567,33.58975447848644,P48,1
45,45.0,-86.69726425893839,33.590320789672774,P48,1
46,46.0,-86.69680740243963,33.59125829783221,P48,1
47,47.0,-86.6967008219853,33.59141729437266,P48,1
48,48.0,-86.69662277522087,33.591533725101385,P48,1
49,49.0,-86.69651710757843,33.59169135916892,P48,1
50,50.0,-86.69644252590183,33.59187687221993,P48,1
51,51.0,-86.69644144401741,33.591879396616896,P48,1
52,52.0,-86.69644071826453,33.591880769881705,P48,1
53,53.0,-86.6964400320818,33.591882068502684,P48,1
54,54.0,-86.69643805537191,33.59188581238038,P48,1
55,55.0,-86.69643522250747,33.591891176836384,P48,1
56,56.0,-86.6964267544911,33.59190721084917,P48,1
57,57.0,-86.6964078507417,33.59193813133976,P48,1
58,58.0,-86.69639141832926,33.591962654952624,P48,1
59,59.0,-86.69635852742408,33.592011740849216,P48,1
60,60.0,-86.6962970551649,33.59210348159046,P48,1
61,61.0,-86.69625010605749,33.5921958662463,P48,1
62,62.0,-86.69609307453571,33.59250479506028,P48,1
63,63.0,-86.6959460848439,33.59279352600049,P48,1
64,64.0,-86.69588356397526,33.5928803636379,P48,1
65,65.0,-86.69587909074737,33.592886577053946,P48,1
66,66.0,-86.69587454557377,33.59289578880964,P48,1
67,67.0,-86.69587000040012,33.592904999666075,P48,1
68,68.0,-86.6958530445823,33.59293382833357,P48,1
69,69.0,-86.69558678590141,33.593452636430065,P48,1
70,70.0,-86.69539723849175,33.59379270786724,P48,1
71,71.0,-86.69503008666914,33.59354015035768,P48,1
72,72.0,-86.69477255860664,33.59364114692147,P48,1
73,73.0,-86.69387949044607,33.59437183798997,P48,1
74,74.0,-86.69331117467094,33.594534214182715,P48,1
75,75.0,-86.69274285889576,33.59364114692147,P48,1
76,76.0,-86.69201216692795,33.59295104855209,P48,1
77,77.0,-86.69079434728127,33.59262629706603,P48,1
78,78.0,-86.68969830932946,33.59262629706603,P48,1
79,79.0,-86.68896761736164,33.592260951082096,P48,1
80,80.0,-86.68801092936087,33.59210458775657,P48,1
81,81.0,-86.68671174355211,33.591976097119236,P48,1
82,82.0,-86.68527454868143,33.59198561464444,P48,1
83,83.0,-86.68412160073126,33.59194020697504,P48,1
84,84.0,-86.68332814957438,33.59201416811942,P48,1
85,85.0,-86.68302189534417,33.592431559668796,P48,1
86,86.0,-86.68246549558614,33.59285391997247,P48,1
87,87.0,-86.68175445920087,33.59431133699866,P48,1
88,88.0,-86.68027919333008,33.595334505583025,P48,1
89,89.0,-86.67821020943359,33.595346094246906,P48,1
90,90.0,-86.67784486344965,33.59640153770084,P48,1
91,91.0,-86.67906268309633,33.59692925987747,P48,1
92,92.0,-86.67946862267875,33.598309455716844,P48,1
93,93.0,-86.67833199112845,33.59940549366865,P48,1
94,94.0,-86.67496268917671,33.59952727536353,P48,1
95,95.0,-86.67224289199585,33.598837177893465,P48,1
96,96.0,-86.67171516981921,33.59664510198991,P48,1
97,97.0,-86.67147160642946,33.591855010600284,P48,1
98,98.0,-86.67302183798739,33.590504199209484,P48,1
