OBJECTID *,Survey Type,Leak Location,Leak Grade,Marked Flag,Leak Located,Probable Source,Gas In,Surface Type,CGI Test Gas,CGI Test LEL,CGI Test PPM,Detected By,Meter Number,Confirm Meter Number,House Number,Street,Street 2,Apt/Suite,City,Comments,Survey Year,Survey Contractor,Grade 1 Notification,PRESSURETY,CreationDa,Creator,EditDate,Editor,NOTIFICATION,REPORTNUMBER,NOTSTATUS,Work Location,X,Y
20811,3 Year,Underground,Grade 3,No,Main,Main,Sanitary Manhole,Concrete,<Null>,<Null>,281,CGI,<Null>,<Null>,2616,37TH AVE N,<Null>,<Null>,Birmingham,"City of Birmingham Sanitary Sewer, methane detected ",2020,Southern Cross,<Null>,<Null>,2/17/20 15:33,Jackie.Butts1,2/17/20 15:33,Jackie.Butts1,10579301,9200020811,<Null>,<Null>,-86.820191,33.558817
20812,3 Year,Underground,Grade 3,No,Service Riser,Service,<10' FRM Building,Unsurfaced,<Null>,4,<Null>,CGI,CB31648,CB31648,3711,27TH ST N,<Null>,<Null>,Birmingham,Riser/below shut off/service cock,2020,Southern Cross,<Null>,<Null>,2/17/20 15:44,Jackie.Butts1,2/17/20 15:54,Jackie.Butts1,10579302,9200020812,<Null>,<Null>,-86.819459,33.559703
20813,3 Year,Underground,Grade 3,No,Main,Main,Curb,Unsurfaced,22,6,493,Flame Pack,0,0,1300,7TH AVE N,<Null>,<Null>,Birmingham,Intersection of 13th St,2020,Southern Cross,<Null>,<Null>,2/17/20 16:11,Ebony.Todd1,2/17/20 16:11,Ebony.Todd1,10579303,9200020813,<Null>,<Null>,-86.819306,33.515747
20814,3 Year,Underground,Grade 3,No,Main,Main,Curb,Unsurfaced,0,4,492,Flame Pack,0,0,690,13TH ST N,13th Ave N,<Null>,Birmingham,On SE corner of 7th Ave,2020,Southern Cross,<Null>,<Null>,2/17/20 16:16,Ebony.Todd1,2/17/20 16:16,Ebony.Todd1,10579304,9200020814,<Null>,<Null>,-86.819223,33.515676
20815,3 Year,Underground,Grade 3,No,Main,Main,Curb,Unsurfaced,10,13,30,Flame Pack,0,0,617,13TH ST N,<Null>,<Null>,Birmingham,outside the gates if ULCS,2020,Southern Cross,<Null>,<Null>,2/17/20 16:23,Ebony.Todd1,2/17/20 16:23,Ebony.Todd1,10579305,9200020815,<Null>,<Null>,-86.819098,33.515492
20818,3 Year,Underground,Grade 3,No,Main,Main,20'+ FRM Building,Unsurfaced,<Null>,20,424,Flame Pack,0,0,617,13TH ST N,<Null>,<Null>,Birmingham,In front of ULCS Bldg,2020,Southern Cross,<Null>,<Null>,2/17/20 16:30,Ebony.Todd1,2/17/20 16:30,Ebony.Todd1,10579307,9200020818,<Null>,<Null>,-86.819113,33.515444
20819,3 Year,Underground,Grade 1,No,Service,Service,<10' FRM Building,Unsurfaced,29,<Null>,<Null>,CGI,RISER ONLY,RISER ONLY,3530,27TH ST N,<Null>,<Null>,Birmingham,"<5 ft. from residence, gas odor, customers complain of gas odor",2020,Southern Cross,<Null>,<Null>,2/17/20 16:39,Jackie.Butts1,2/17/20 16:54,Jackie.Butts1,10578830,9200020819,<Null>,<Null>,-86.819414,33.558496
20820,3 Year,Underground,Grade 3,No,Main,Main,Curb,<Null>,5,<Null>,<Null>,CGI,ba599203,<Null>,1901,19TH ST N,<Null>,<Null>,Birmingham,<Null>,2020,Southern Cross,<Null>,<Null>,2/17/20 16:44,leighton.landrum1,2/17/20 16:44,leighton.landrum1,10579308,9200020820,<Null>,<Null>,-86.827999,33.548827
20821,3 Year,Underground,Grade 3,No,Main,Main,Curb,Unsurfaced,<Null>,4,58,Flame Pack,0,0,615,13TH ST N,<Null>,<Null>,Birmingham,Adjacent to Alabama Power exit,2020,Southern Cross,<Null>,<Null>,2/17/20 16:53,Ebony.Todd1,2/17/20 16:53,Ebony.Todd1,10579309,9200020821,<Null>,<Null>,-86.819012,33.515001
20827,3 Year,Underground,Grade 3,No,Main,Main,Curb,Unsurfaced,<Null>,9,<Null>,CGI,<Null>,<Null>,1926,26TH AVE N,<Null>,<Null>,Birmingham,<Null>,2020,Southern Cross,<Null>,<Null>,2/17/20 19:48,leighton.landrum1,2/17/20 19:48,leighton.landrum1,10579314,9200020827,<Null>,<Null>,-86.825114,33.544803
20830,3 Year,Underground,Grade 3,No,Main,Main,Sanitary Manhole,Tar Mix,<Null>,<Null>,60,CGI,<Null>,<Null>,2629,34th Ave. N,<Null>,<Null>,Birmingham,"City of Birmingham Sanitary Sewer, on 27th St adjacent to alley",2020,Southern Cross,<Null>,<Null>,2/17/20 20:00,Jackie.Butts1,2/17/20 20:00,Jackie.Butts1,10579317,9200020830,<Null>,<Null>,-86.818081,33.555632
20842,3 Year,Underground,Grade 2,No,Main,Main,10' - 20' FRM Building,Concrete,<Null>,27,<Null>,CGI,<Null>,<Null>,2425,35TH AVE N,25th St. N,<Null>,Birmingham,Gas detected from crack in sidewalk ,2020,Southern Cross,<Null>,<Null>,2/18/20 20:27,Jackie.Butts1,2/18/20 20:27,Jackie.Butts1,10579324,9200020842,<Null>,<Null>,-86.821561,33.556157
20843,3 Year,Underground,Grade 1,No,Service,Service,<10' FRM Building,Unsurfaced,25,<Null>,<Null>,CGI,RA2302,RA2302,3424,26TH ST N,35th Ave. N,<Null>,Birmingham,"Masjidul Qur'an, <10 ft. from building, strong gas odor",2020,Southern Cross,<Null>,<Null>,2/19/20 14:54,Jackie.Butts1,2/19/20 15:38,Jackie.Butts1,10578961,9200020843,<Null>,<Null>,-86.820323,33.556554
20844,3 Year,Underground,Grade 3,Yes,Meter Swivel,Main,Curb,Unsurfaced,6,<Null>,<Null>,CGI,riser,<Null>,3109,HIGHLAND AVE S,<Null>,<Null>,Birmingham,<Null>,2020,Southern Cross,<Null>,<Null>,2/19/20 15:03,leighton.landrum1,2/19/20 15:03,leighton.landrum1,10579325,9200020844,<Null>,<Null>,-86.778258,33.508486
20846,3 Year,Underground,Grade 3,No,Main,Main,Curb,Concrete,<Null>,5,<Null>,CGI,<Null>,<Null>,2894,35TH AVE N,29th St. N,<Null>,Birmingham,"Gas detected from storm drain, on/near main; BSE Industrial Contractors",2020,Southern Cross,<Null>,<Null>,2/19/20 17:41,Jackie.Butts1,2/19/20 17:41,Jackie.Butts1,10579326,9200020846,<Null>,<Null>,-86.811662,33.559253
20847,3 Year,Underground,Grade 3,No,Main,Main,10' - 20' FRM Building,Concrete,<Null>,10,<Null>,CGI,<Null>,<Null>,2892,35TH AVE N, ,<Null>,Birmingham,"Drainage ditch, gas odor",2020,Southern Cross,<Null>,<Null>,2/19/20 17:53,Jackie.Butts1,2/19/20 17:53,Jackie.Butts1,10579327,9200020847,<Null>,<Null>,-86.812213,33.559118
