,Time Stamp,CH4 (ppm),C2H6 (ppb),R,C2/C1,ch4Enhcmt,totDist,length,lrate,npeaks,Latitude,Longitude
0,07/01/2020 03:37:48.561,2.06016,10.753,0.903,0.015,0.115,132.0,16,0.9,4,33.6510391235,-86.6832580566
1,07/01/2020 02:28:25.284,3.35031,17.738,0.993,0.006,1.422,113.8,16,24.2,2,33.6559410095,-86.6828994751
2,07/07/2020 00:01:26.347,5.68126,6.152,0.992,0.002,3.751,178.3,23,30.2,4,33.6555328369,-86.6972885132
3,07/07/2020 00:00:57.675,2.47297,2.036,0.915,0.005,0.543,157.2,15,16.0,3,33.6550521851,-86.6984786987
4,07/01/2020 03:11:15.627,2.36244,13.196,0.877,0.007,0.398,90.1,10,2.7,1,33.6553497314,-86.6985015869
5,07/01/2020 03:13:56.497,3.71654,14.234,0.963,0.002,1.786,152.4,18,27.7,3,33.6532402039,-86.6981735229
6,07/02/2020 03:56:33.012,2.26523,0.884,0.878,0.009,0.314,160.6,11,4.0,3,33.6523323059,-86.7005310059
7,07/01/2020 03:35:56.945,4.40231,15.959,0.973,0.002,2.465,168.3,20,24.1,3,33.6493606567,-86.6888122559
8,07/02/2020 02:49:44.257,2.70361,14.404,0.95,0.006,0.743,105.4,11,10.2,3,33.6595916748,-86.6855697632
9,07/02/2020 03:05:38.318,2.94279,4.351,0.955,0.004,0.969,140.7,14,11.4,2,33.6511764526,-86.6899871826
10,07/06/2020 23:45:28.497,2.06438,0.752,0.839,0.014,0.145,181.2,18,2.5,2,33.6571960449,-86.6910858154
11,07/02/2020 03:25:38.446,12.5721,67.001,1.0,0.006,10.634,42.8,14,65.3,3,33.6573104858,-86.6954193115
12,07/01/2020 02:29:22.628,2.05319,10.133,0.805,0.017,0.125,38.7,9,0.3,1,33.6553726196,-86.6872558594
13,07/01/2020 03:03:04.516,2.07491,12.251,0.918,0.025,0.123,116.1,14,1.5,1,33.6537818909,-86.7044219971
14,07/01/2020 03:04:01.963,2.16559,11.825,0.812,0.007,0.207,108.5,11,1.9,1,33.6538467407,-86.6985092163
15,07/01/2020 03:06:05.969,2.39399,11.745,0.819,0.004,0.435,90.7,10,3.6,1,33.6561889648,-86.7041931152
16,07/01/2020 03:10:04.971,2.08128,10.194,0.808,0.011,0.117,81.8,8,0.8,1,33.6546401978,-86.6995697021
17,07/01/2020 03:19:10.046,2.94324,12.755,0.895,0.003,1.005,205.0,14,31.3,1,33.6493415833,-86.6868209839
18,07/01/2020 03:41:31.998,2.61047,14.365,0.951,0.007,0.669,200.9,16,13.4,1,33.6595993042,-86.6826019287
19,07/01/2020 03:46:07.659,2.26063,12.469,0.83,0.007,0.304,290.4,16,2.9,1,33.6533660889,-86.6829071045
20,07/02/2020 02:50:11.905,2.28143,11.756,0.849,0.006,0.299,66.0,9,1.3,1,33.6600875854,-86.6865615845
21,07/02/2020 02:56:19.726,2.23539,7.312,0.842,0.006,0.219,129.2,17,0.8,1,33.6513175964,-86.6885528564
22,07/02/2020 03:22:10.472,2.56103,-0.042,0.983,0.007,0.625,13.1,6,0.8,1,33.6549301147,-86.696105957
23,07/02/2020 03:24:40.078,2.0935,-1.156,0.794,0.006,0.156,85.9,10,0.5,1,33.6558532715,-86.6939544678
24,07/02/2020 04:01:51.886,2.27468,2.528,0.876,0.008,0.32,161.2,13,2.9,1,33.6494140625,-86.6917419434
25,07/06/2020 23:39:37.265,2.49158,3.138,0.968,0.008,0.57,80.8,17,0.5,1,33.6598243713,-86.694229126
26,07/06/2020 23:40:18.225,2.44673,3.038,0.98,0.007,0.525,31.9,15,1.9,1,33.6598243713,-86.694229126
27,07/06/2020 23:42:07.793,3.91488,1.702,0.868,0.001,1.991,34.6,14,3.3,1,33.6582832336,-86.6955718994
28,07/07/2020 00:15:57.771,2.02321,-2.869,0.748,0.016,0.09,15.2,6,0.1,1,33.6491737366,-86.6837768555
29,07/07/2020 00:18:42.635,2.39231,-2.941,0.928,0.006,0.469,264.2,17,24.2,1,33.6617240906,-86.6812820435
30,07/07/2020 00:21:07.019,1.96134,-5.655,0.758,0.016,0.033,123.2,7,0.2,1,33.654624939,-86.6827468872
