,Time Stamp,CH4 (ppm),C2H6 (ppb),R,C2/C1,ch4Enhcmt,totDist,length,lrate,npeaks,Latitude,Longitude
0,06/18/2020 21:55:57.912,3.18749,18.708,0.972,0.004,1.171,151.0,13,19.9,4,33.5919189453,-86.6130218506
1,06/23/2020 23:33:00.673,2.28919,10.099,0.818,0.005,0.238,89.3,10,2.0,2,33.6067352295,-86.6042556763
2,06/24/2020 00:12:10.958,3.53311,15.185,0.985,0.006,1.563,237.1,21,27.4,2,33.6048622131,-86.5988922119
3,06/19/2020 22:05:47.214,2.15446,15.105,0.82,0.016,0.098,103.4,11,0.7,1,33.6095046997,-86.6006240845
4,06/19/2020 22:07:38.830,2.19023,13.95,0.756,0.008,0.134,91.4,8,0.5,1,33.6086540222,-86.6037597656
5,06/23/2020 23:31:12.027,2.19814,8.16,0.766,0.021,0.197,16.5,5,0.3,1,33.6110038757,-86.6045608521
6,06/23/2020 23:38:56.001,2.07295,-1.926,0.818,0.006,0.031,84.5,5,0.1,1,33.6030387878,-86.6070022583
7,06/23/2020 23:41:35.745,2.29187,-0.589,0.952,0.005,0.305,214.4,19,6.7,1,33.5926170349,-86.6121902466
8,06/23/2020 23:53:04.078,2.10533,6.533,0.735,0.005,0.143,58.2,5,0.9,1,33.5911827087,-86.6134033203
9,06/23/2020 23:56:38.094,2.47836,8.005,0.95,0.005,0.516,220.3,18,7.4,1,33.5971870422,-86.6085357666
10,06/24/2020 00:03:16.430,2.15261,4.299,0.832,0.015,0.194,111.5,8,1.5,1,33.6019020081,-86.6085891724
