OBJECTID_1,FID_spireM,OBJECTID,LEAKSURVEY,LEAKSURV_1,LASTSURVEY,LEAKSURV_2,SURVEYAREA,TARGETMONT,COMMENTS,SURVEYCYCL,HCA,SHAPE_Leng,Polygon,FID_techFi,OBJECTID__,Survey_Typ,Leak_Locat,Leak_Grade,Marked_Fla,Leak_Loc_1,Probable_S,Gas_In,Surface_Ty,CGI_Test_G,CGI_Test_L,CGI_Test_P,Detected_B,Meter_Numb,Confirm_Me,House_Numb,Street,Street_2,Apt_Suite,City,Comments_1,Survey_Yea,Survey_Con,Grade_1_No,PRESSURETY,CreationDa,Creator,EditDate,Editor,NOTIFICATI,REPORTNUMB,NOTSTATUS,Work_Locat,X,Y,geometry
36,9,17,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,17927.1691602,17,197,23006,3 Year,Underground,Grade 2,Yes,<Null>,<Null>,Curb,Tar Mix,<Null>,3,<Null>,CGI,<Null>,<Null>,1100,11th St N,5th ave,<Null>,birmingham,<Null>,2020,Southern Cross,<Null>,<Null>,2020-04-10,leighton.landrum1,2020-04-10,leighton.landrum1,10581750,9200023006,<Null>,<Null>,-86.820864,33.512143,"c(-86.820864, 33.512143)"
38,9,17,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,17927.1691602,17,193,22931,3 Year,Underground,Grade 3,No,<Null>,Main,Street,Concrete,<Null>,<Null>,401,<Null>,<Null>,<Null>,1225,5th Ave N,<Null>,<Null>,<Null>,in the street,2020,Southern Cross,<Null>,<Null>,2020-04-07,leighton.landrum1,2020-04-07,leighton.landrum1,10581731,9200022931,<Null>,<Null>,-86.817822,33.513572,"c(-86.817822, 33.5135720000001)"
45,9,17,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,17927.1691602,17,22,20821,3 Year,Underground,Grade 3,No,Main,Main,Curb,Unsurfaced,<Null>,4,58,Flame Pack,0,0,615,13TH ST N,<Null>,<Null>,Birmingham,Adjacent to Alabama Power exit,2020,Southern Cross,<Null>,<Null>,2020-02-17,Ebony.Todd1,2020-02-17,Ebony.Todd1,10579309,9200020821,<Null>,<Null>,-86.819012,33.515001,"c(-86.819012, 33.515001)"
47,9,17,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,17927.1691602,17,19,20818,3 Year,Underground,Grade 3,No,Main,Main,20'+ FRM Building,Unsurfaced,<Null>,20,424,Flame Pack,0,0,617,13TH ST N,<Null>,<Null>,Birmingham,In front of ULCS Bldg,2020,Southern Cross,<Null>,<Null>,2020-02-17,Ebony.Todd1,2020-02-17,Ebony.Todd1,10579307,9200020818,<Null>,<Null>,-86.819113,33.515444,"c(-86.819113, 33.5154440000001)"
48,9,17,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,17927.1691602,17,18,20815,3 Year,Underground,Grade 3,No,Main,Main,Curb,Unsurfaced,10,13,30,Flame Pack,0,0,617,13TH ST N,<Null>,<Null>,Birmingham,outside the gates if ULCS,2020,Southern Cross,<Null>,<Null>,2020-02-17,Ebony.Todd1,2020-02-17,Ebony.Todd1,10579305,9200020815,<Null>,<Null>,-86.819098,33.515492,"c(-86.8190979999999, 33.5154920000001)"
49,9,17,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,17927.1691602,17,17,20814,3 Year,Underground,Grade 3,No,Main,Main,Curb,Unsurfaced,0,4,492,Flame Pack,0,0,690,13TH ST N,13th Ave N,<Null>,Birmingham,On SE corner of 7th Ave,2020,Southern Cross,<Null>,<Null>,2020-02-17,Ebony.Todd1,2020-02-17,Ebony.Todd1,10579304,9200020814,<Null>,<Null>,-86.819223,33.515676,"c(-86.819223, 33.515676)"
50,9,17,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,17927.1691602,17,16,20813,3 Year,Underground,Grade 3,No,Main,Main,Curb,Unsurfaced,22,6,493,Flame Pack,0,0,1300,7TH AVE N,<Null>,<Null>,Birmingham,Intersection of 13th St,2020,Southern Cross,<Null>,<Null>,2020-02-17,Ebony.Todd1,2020-02-17,Ebony.Todd1,10579303,9200020813,<Null>,<Null>,-86.819306,33.515747,"c(-86.819306, 33.515747)"
55,9,17,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,17927.1691602,17,7,20504,3 Year,Underground,Grade 2,No,<Null>,Main,Curb,Concrete,<Null>,4,<Null>,CGI,riser,<Null>,1300,REVEREND ABRAHAM WOODS JR BLVD,<Null>,<Null>,BIRMINGHAM,traveled near man hole,2020,Southern Cross,<Null>,<Null>,2020-02-13,leighton.landrum1,2020-02-13,leighton.landrum1,10578873,9200020504,<Null>,<Null>,-86.820227,33.517029,"c(-86.820227, 33.517029)"
59,9,17,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,17927.1691602,17,152,22094,3 Year,Underground,Grade 3,Yes,<Null>,Service,Curb,Unsurfaced,<Null>,19,<Null>,CGI,ba571881,<Null>,1620,REVEREND ABRAHAM WOODS JR BLVD,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2020-03-24,leighton.landrum1,2020-03-24,leighton.landrum1,10580917,9200022094,<Null>,<Null>,-86.815176,33.519438,"c(-86.815176, 33.519438)"
62,9,17,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,17927.1691602,17,166,22147,3 Year,Underground,Grade 1,No,<Null>,Main,Foundation,Concrete,8,<Null>,<Null>,CGI,N/A,N/A,900,17th St. N.,9th Ave. N.,<Null>,<Null>,"Metro Mini Storage, 54% gas  - parking lot, 8% gas from foundation, gas odor, complaint of odor",2020,Southern Cross,<Null>,<Null>,2020-03-26,Jackie.Butts1,2020-03-26,Jackie.Butts1,10580719,9200022147,<Null>,<Null>,-86.816035,33.520853,"c(-86.8160349999999, 33.520853)"
