OBJECTID_1,FID_spireM,OBJECTID,LEAKSURVEY,LEAKSURV_1,LASTSURVEY,LEAKSURV_2,SURVEYAREA,TARGETMONT,COMMENTS,SURVEYCYCL,HCA,SHAPE_Leng,Polygon,FID_techFi,OBJECTID__,Survey_Typ,Leak_Locat,Leak_Grade,Marked_Fla,Leak_Loc_1,Probable_S,Gas_In,Surface_Ty,CGI_Test_G,CGI_Test_L,CGI_Test_P,Detected_B,Meter_Numb,Confirm_Me,House_Numb,Street,Street_2,Apt_Suite,City,Comments_1,Survey_Yea,Survey_Con,Grade_1_No,PRESSURETY,CreationDa,Creator,EditDate,Editor,NOTIFICATI,REPORTNUMB,NOTSTATUS,Work_Locat,X,Y,geometry
106,6,4,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,19595.8623189,4,61,21178,3 Year,Underground,Grade 3,No,Service Cock,Service,10' - 20' FRM Building,<Null>,<Null>,2,323,CGI,<Null>,<Null>,1914,19TH CT N,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2020-02-27,Joel.Gibson1,2020-02-27,Joel.Gibson1,10579665,9200021178,<Null>,<Null>,-86.820251,33.536724,"c(-86.820251, 33.536724)"
107,6,4,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,19595.8623189,4,62,21180,3 Year,Underground,Grade 3,No,Service Cock,Service,10' - 20' FRM Building,Unsurfaced,<Null>,4,332,CGI,<Null>,<Null>,1935,21ST AVE N,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2020-02-27,Joel.Gibson1,2020-02-27,Joel.Gibson1,10579666,9200021180,<Null>,<Null>,-86.819412,33.536948,"c(-86.8194119999999, 33.5369480000001)"
115,6,4,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,19595.8623189,4,67,21187,3 Year,Underground,Grade 3,No,Main,Main,Curb,Unsurfaced,<Null>,2,<Null>,Flame Pack,<Null>,<Null>,2105,25TH ST N,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2020-02-28,Meagan.Howard1,2020-02-28,Meagan.Howard1,10579673,9200021187,<Null>,<Null>,-86.814461,33.540907,"c(-86.8144609999999, 33.5409070000001)"
116,6,4,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,19595.8623189,4,66,21185,3 Year,Underground,Grade 3,Yes,Main,Main,Curb,Concrete,<Null>,5,442,CGI,<Null>,<Null>,2501,22nd Ave N,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2020-02-28,Joel.Gibson1,2020-02-28,Joel.Gibson1,10579671,9200021185,<Null>,<Null>,-86.814848,33.541704,"c(-86.814848, 33.541704)"
117,6,4,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,19595.8623189,4,124,21771,3 Year,Underground,Grade 2,No,<Null>,Main,Curb,Unsurfaced,20,<Null>,<Null>,CGI,N/A,N/A,2223,25TH ST N,22nd Ave. N./23rd Ave. N.,<Null>,<Null>,"Near Aramark, between street and sidewalk, gas odor",2020,Southern Cross,<Null>,<Null>,2020-03-16,Jackie.Butts1,2020-03-16,Jackie.Butts1,10580621,9200021771,<Null>,<Null>,-86.815221,33.541883,"c(-86.815221, 33.541883)"
118,6,4,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,19595.8623189,4,125,21772,3 Year,Underground,Grade 2,No,<Null>,Main,Curb,Unsurfaced,57,<Null>,<Null>,CGI,N/A,N/A,2227,25TH ST N,22nd/23rd Ave. N. - near Aramark,<Null>,<Null>,"Between street and sidewalk, gas odor, near Aramark",2020,Southern Cross,<Null>,<Null>,2020-03-16,Jackie.Butts1,2020-03-16,Jackie.Butts1,10580622,9200021772,<Null>,<Null>,-86.81526,33.541929,"c(-86.81526, 33.541929)"
119,6,4,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,19595.8623189,4,126,21773,3 Year,Underground,Grade 2,No,<Null>,Main,Curb,Unsurfaced,25,<Null>,<Null>,CGI,N/A,N/A,2220,25TH ST N,22nd/23rd Ave. N.,<Null>,<Null>,"At curb, around utility pole, buried cable",2020,Southern Cross,<Null>,<Null>,2020-03-16,Jackie.Butts1,2020-03-16,Jackie.Butts1,10580623,9200021773,<Null>,<Null>,-86.815303,33.542016,"c(-86.815303, 33.542016)"
120,6,4,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,19595.8623189,4,123,21770,3 Year,Underground,Grade 2,No,Main,Main,Storm Manhole,Tar Mix,<Null>,35,<Null>,CGI,N/A,N/A,2305,25TH ST N,25th St. N.,NA,<Null>,"Gas pipeline, around RR crossing signal, at RR tracks next to Aramark",2020,Southern Cross,<Null>,<Null>,2020-03-16,Jackie.Butts1,2020-03-16,Jackie.Butts1,10580620,9200021770,<Null>,<Null>,-86.81564,33.542415,"c(-86.81564, 33.5424150000001)"
121,6,4,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,19595.8623189,4,69,21198,3 Year,Underground,Grade 3,Yes,Main,Main,Street,Unsurfaced,<Null>,3,<Null>,Flame Pack,<Null>,<Null>,2720,21ST AVE N,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2020-02-28,Meagan.Howard1,2020-02-28,Meagan.Howard1,10579681,9200021198,<Null>,<Null>,-86.810709,33.542479,"c(-86.810709, 33.5424790000001)"
122,6,4,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,19595.8623189,4,127,21774,3 Year,Underground,Grade 2,No,Main,Main,20'+ FRM Building,Unsurfaced,64,<Null>,<Null>,CGI,N/A,N/A,2305,25TH ST N,23rd Ave. N.,<Null>,<Null>,Methane detected from storm/sanitary manhole in street; int. 23rd & 25th,2020,Southern Cross,<Null>,<Null>,2020-03-16,Jackie.Butts1,2020-03-16,Jackie.Butts1,10580624,9200021774,<Null>,<Null>,-86.81569,33.542531,"c(-86.81569, 33.5425310000001)"
123,6,4,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,19595.8623189,4,122,21769,3 Year,Underground,Grade 2,No,<Null>,Main,<Null>,Concrete,20,<Null>,<Null>,CGI,N/A,N/A,2509,23RD AVE N,25th St. N.,<Null>,<Null>,"Debris pile, appears to be demolished house, detected from cracks in concrete",2020,Southern Cross,<Null>,<Null>,2020-03-16,Jackie.Butts1,2020-03-16,Jackie.Butts1,10580329,9200021769,<Null>,<Null>,-86.815034,33.542635,"c(-86.815034, 33.5426350000001)"
124,6,4,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,19595.8623189,4,72,21443,3 Year,Underground,Grade 2,Yes,<Null>,Main,Curb,Unsurfaced,6,<Null>,<Null>,Odor,RA2199,RA2199,2403,21ST ST N,<Null>,<Null>,<Null>,"in grass, marked with white paint",2020,Southern Cross,<Null>,<Null>,2020-03-09,Meagan.Howard1,2020-03-09,Meagan.Howard1,10579687,9200021443,<Null>,<Null>,-86.821867,33.542707,"c(-86.8218669999999, 33.5427070000001)"
125,6,4,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,19595.8623189,4,121,21768,3 Year,Underground,Grade 2,No,<Null>,Main,<Null>,Unsurfaced,83,<Null>,<Null>,CGI,N/A,N/A,2511,23RD AVE N,<Null>,<Null>,<Null>,Around pipe coming from ground,2020,Southern Cross,<Null>,<Null>,2020-03-16,Jackie.Butts1,2020-03-16,Jackie.Butts1,10580328,9200021768,<Null>,<Null>,-86.814823,33.542723,"c(-86.814823, 33.542723)"
126,6,4,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,19595.8623189,4,120,21767,3 Year,Underground,Grade 2,No,<Null>,Main,Street,Tar Mix,88,<Null>,<Null>,CGI,N/A,N/A,2511,23RD AVE N,<Null>,<Null>,<Null>,"Under street, holes in street, strong gas odor",2020,Southern Cross,<Null>,<Null>,2020-03-16,Jackie.Butts1,2020-03-16,Jackie.Butts1,10580327,9200021767,<Null>,<Null>,-86.814779,33.542804,"c(-86.814779, 33.542804)"
127,6,4,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,19595.8623189,4,119,21765,3 Year,Underground,Grade 2,No,<Null>,Main,Street,Unsurfaced,75,<Null>,<Null>,CGI,N/A,N/A,2507,23RD AVE N,<Null>,<Null>,<Null>,"Next to railroad tracks, strong gas odor",2020,Southern Cross,<Null>,<Null>,2020-03-16,Jackie.Butts1,2020-03-16,Jackie.Butts1,10580326,9200021765,<Null>,<Null>,-86.814666,33.542875,"c(-86.814666, 33.542875)"
128,6,4,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,19595.8623189,4,118,21764,3 Year,Underground,Grade 2,No,<Null>,Main,<Null>,Unsurfaced,54,<Null>,<Null>,Odor,N/A,N/A,2507,23RD AVE N,<Null>,<Null>,<Null>,"<5' from street, strong gas odor",2020,Southern Cross,<Null>,<Null>,2020-03-16,Jackie.Butts1,2020-03-16,Jackie.Butts1,10580325,9200021764,<Null>,<Null>,-86.814667,33.54291,"c(-86.814667, 33.5429100000001)"
129,6,4,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,19595.8623189,4,130,21778,3 Year,Underground,Grade 1,No,<Null>,Main,<10' FRM Building,Unsurfaced,23,<Null>,<Null>,CGI,N/A,N/A,2312,25TH ST N,23rd Ct. N.,<Null>,<Null>,"43% gas at curb, 80% gas from hole in street, 10+% - 20+% gas within 10' ft. of building",2020,Southern Cross,<Null>,<Null>,2020-03-16,Jackie.Butts1,2020-03-16,Jackie.Butts1,10580254,9200021778,<Null>,<Null>,-86.815987,33.543046,"c(-86.815987, 33.5430460000001)"
130,6,4,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,19595.8623189,4,128,21775,3 Year,Underground,Grade 2,No,<Null>,Main,Street,Tar Mix,80,<Null>,<Null>,CGI,N/A,N/A,2312,25TH ST N,23rd Ct. N./23rd Ave. N.,<Null>,<Null>,"Hole in street, patch in street, 15' - 20' from building",2020,Southern Cross,<Null>,<Null>,2020-03-16,Jackie.Butts1,2020-03-16,Jackie.Butts1,10580625,9200021775,<Null>,<Null>,-86.816017,33.54307,"c(-86.816017, 33.5430700000001)"
131,6,4,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,19595.8623189,4,129,21777,3 Year,Underground,Grade 2,No,<Null>,Main,Curb,Unsurfaced,48,<Null>,<Null>,CGI,N/A,N/A,2312,25TH ST N,23rd Ct. N.,<Null>,<Null>,"At curb, 15' ft. from building",2020,Southern Cross,<Null>,<Null>,2020-03-16,Jackie.Butts1,2020-03-16,Jackie.Butts1,10580626,9200021777,<Null>,<Null>,-86.816046,33.543092,"c(-86.816046, 33.5430920000001)"
132,6,4,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,19595.8623189,4,133,21792,3 Year,Underground,Grade 2,No,<Null>,Main,20'+ FRM Building,Unsurfaced,36,<Null>,<Null>,CGI,N/A,N/A,2401,22nd St N,24th Ave. N.,<Null>,<Null>,"On/near gas pipeline on 24th Ave. N., 30% - 60+% gas, gas odor, <5' from street. yard",2020,Southern Cross,<Null>,<Null>,2020-03-17,Jackie.Butts1,2020-03-17,Jackie.Butts1,10580629,9200021792,<Null>,<Null>,-86.82049,33.543114,"c(-86.8204899999999, 33.5431140000001)"
133,6,4,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,19595.8623189,4,102,21532,3 Year,Underground,Grade 3,No,Nipple,Service,20'+ FRM Building,Unsurfaced,<Null>,2,<Null>,Soap,N/A,N/A,2400,27TH ST N,<Null>,<Null>,<Null>,First cut regulator - union,2020,Southern Cross,<Null>,<Null>,2020-03-13,Jackie.Butts1,2020-03-13,Jackie.Butts1,10580296,9200021532,<Null>,<Null>,-86.813064,33.544541,"c(-86.8130639999999, 33.544541)"
