,Unnamed: 0,Time Stamp,CH4 (ppm),C2H6 (ppb),R,C2/C1,ch4Enhcmt,totDist,length,lrate,npeaks,Latitude,Longitude,POLYGON,LEAKNUM,PolyLK
0,0,06/15/2020 21:04:44.398,2.74653,16.602999999999998,0.9890000000000001,0.009000000000000001,0.6970000000000001,214.2,12,39.9,2,33.706867218,-86.58829498290001,P1,0,P1L0
1,1,06/17/2020 02:27:42.558,2.56965,7.9879999999999995,0.978,0.011000000000000001,0.545,270.4,23,5.2,3,33.749111175500005,-86.59404754639999,P1,1,P1L1
2,2,06/17/2020 02:00:49.963,3.02435,12.001,0.992,0.009000000000000001,1.002,289.4,16,35.9,2,33.7056388855,-86.60827636719999,P1,2,P1L2
3,3,06/17/2020 01:49:05.246,2.40117,4.734,0.9,0.006999999999999999,0.38299999999999995,87.6,17,3.1,2,33.6394462585,-86.6150360107,P1,3,P1L3
4,4,06/15/2020 21:08:21.691,2.14998,14.175,0.8270000000000001,0.018000000000000002,0.128,244.3,17,1.6,1,33.7198867798,-86.5886993408,P1,4,P1L4
5,5,06/15/2020 21:08:58.760,2.73588,21.070999999999998,0.9790000000000001,0.011000000000000001,0.7140000000000001,126.8,9,9.2,1,33.7231674194,-86.58470153809999,P1,5,P1L5
6,6,06/15/2020 21:29:51.521,2.1482,3.766,0.752,0.013000000000000001,0.11199999999999999,188.9,13,1.3,1,33.7465629578,-86.6012039185,P1,6,P1L6
7,7,06/15/2020 21:46:01.761,2.1899599999999997,5.033,0.8220000000000001,0.01,0.139,155.1,20,0.8,1,33.7381477356,-86.61298370360001,P1,7,P1L7
8,8,06/16/2020 02:06:35.681,2.26132,5.396,0.777,0.01,0.19699999999999998,259.2,13,4.3,1,33.6583709717,-86.6431427002,P1,8,P1L8
9,9,06/16/2020 02:12:04.692,2.23628,4.716,0.8340000000000001,0.009000000000000001,0.183,151.2,9,2.2,1,33.6978912354,-86.6127243042,P1,9,P1L9
10,10,06/16/2020 02:41:57.000,2.1846200000000002,5.727,0.7559999999999999,0.013999999999999999,0.16,161.6,8,2.8,1,33.7488899231,-86.59441375729999,P1,10,P1L10
11,11,06/17/2020 02:00:12.075,2.2156599999999997,4.801,0.877,0.011000000000000001,0.19399999999999998,276.4,18,6.0,1,33.7030258179,-86.6026306152,P1,11,P1L11
0,0,06/17/2020 21:02:16.038,2.80302,10.823,0.9940000000000001,0.008,0.8340000000000001,300.7,17,18.6,8,33.705646514899996,-86.6083221436,P2,0,P2L0
0,0,06/16/2020 23:26:07.608,4.53517,34.047,0.997,0.008,2.48,227.6,14,59.0,3,33.706840515100005,-86.58834838870001,P3,0,P3L0
1,1,06/16/2020 23:23:41.176,2.56805,20.315,0.945,0.009000000000000001,0.544,172.9,10,19.1,2,33.705604553200004,-86.60794830319999,P3,1,P3L1
2,2,06/15/2020 23:27:51.048,2.2513900000000002,12.802999999999999,0.838,0.013999999999999999,0.221,170.8,13,3.0,1,33.7030982971,-86.60285186770001,P3,2,P3L2
3,3,06/16/2020 00:10:45.076,2.30605,4.166,0.9009999999999999,0.008,0.301,235.6,14,4.3,1,33.7029800415,-86.5475158691,P3,3,P3L3
4,4,06/16/2020 23:27:12.222,2.50858,18.8,0.981,0.011000000000000001,0.455,197.8,19,2.6,1,33.7075042725,-86.5873947144,P3,4,P3L4
5,5,06/16/2020 23:44:16.836,2.0527599999999997,4.261,0.7490000000000001,0.008,0.038,31.8,5,0.1,1,33.6796417236,-86.5649337769,P3,5,P3L5
6,6,06/16/2020 23:50:59.780,3.65674,8.187000000000001,0.9470000000000001,0.002,1.6230000000000002,90.6,17,8.7,1,33.6780014038,-86.5537109375,P3,6,P3L6
7,7,06/16/2020 23:54:01.131,2.17194,5.9079999999999995,0.765,0.01,0.149,55.7,7,0.5,1,33.682209014899996,-86.5501480103,P3,7,P3L7
8,8,06/17/2020 00:05:51.684,2.42073,4.098,0.9309999999999999,0.005,0.415,134.5,28,3.0,1,33.695903778099996,-86.54203033450001,P3,8,P3L8
9,9,06/17/2020 22:13:52.025,2.05068,6.981,0.752,0.017,0.07200000000000001,95.2,6,0.7,1,33.7041282654,-86.60369873049999,P3,9,P3L9
0,0,06/17/2020 23:55:27.283,2.5956,10.765999999999998,0.9620000000000001,0.011000000000000001,0.596,323.2,36,16.6,4,33.7074241638,-86.5874023438,P4,0,P4L0
1,1,06/16/2020 00:22:28.974,2.16846,4.596,0.821,0.011000000000000001,0.16899999999999998,278.5,18,2.4,2,33.7173080444,-86.57537841799999,P4,1,P4L1
2,2,06/18/2020 00:18:32.857,2.7688,17.680999999999997,0.983,0.011000000000000001,0.7809999999999999,286.9,22,87.3,5,33.7242889404,-86.56175994870001,P4,2,P4L2
3,3,06/17/2020 23:57:29.139,2.85338,18.597,0.993,0.015,0.841,268.2,15,19.1,5,33.7183189392,-86.57409667969999,P4,3,P4L3
4,4,06/16/2020 00:45:24.513,2.2827900000000003,10.001,0.865,0.01,0.261,339.0,19,5.3,4,33.7110328674,-86.58288574219999,P4,4,P4L4
5,5,06/17/2020 23:47:54.060,3.62448,31.448,0.996,0.013999999999999999,1.6019999999999999,134.5,8,44.9,3,33.7068328857,-86.58834075930001,P4,5,P4L5
6,6,06/17/2020 00:50:12.753,2.5037599999999998,8.729,0.97,0.01,0.461,116.2,8,7.4,1,33.706977844200004,-86.58812713620001,P4,6,P4L6
7,7,06/16/2020 00:21:27.534,2.08739,2.5780000000000003,0.784,0.016,0.09,121.2,8,0.8,1,33.711578369099996,-86.5820770264,P4,7,P4L7
8,8,06/17/2020 00:25:57.752,2.1313400000000002,6.7620000000000005,0.898,0.021,0.109,140.2,24,1.0,1,33.7183456421,-86.5688323975,P4,8,P4L8
9,9,06/17/2020 00:47:30.449,2.42948,7.792999999999999,0.9390000000000001,0.008,0.386,241.5,14,6.6,1,33.714099884,-86.57884216309999,P4,9,P4L9
10,10,06/17/2020 23:58:14.195,2.17288,10.387,0.838,0.023,0.14800000000000002,174.3,11,1.8,1,33.7216072083,-86.5675125122,P4,10,P4L10
11,11,06/18/2020 00:10:41.715,2.0527900000000003,11.107999999999999,0.836,0.026000000000000002,0.085,78.3,7,0.8,1,33.7389755249,-86.58006286620001,P4,11,P4L11
12,12,06/18/2020 00:15:53.113,2.0055,8.86,0.754,0.022000000000000002,0.021,57.1,6,0.1,1,33.7279701233,-86.5555725098,P4,12,P4L12
0,0,06/19/2020 02:37:50.603,2.6137,7.085,0.951,0.006999999999999999,0.584,330.5,23,20.2,4,33.6978263855,-86.6127853394,P5,0,P5L0
1,1,06/25/2020 01:16:45.926,3.7298400000000003,24.057,0.998,0.009000000000000001,1.849,175.7,18,30.2,4,33.6909637451,-86.6266479492,P5,1,P5L1
2,2,06/19/2020 01:51:40.683,3.26671,13.995999999999999,0.938,0.002,1.247,212.1,20,28.9,4,33.690410614,-86.6292114258,P5,2,P5L2
