OBJECTID_1,FID_spireM,OBJECTID,LEAKSURVEY,LEAKSURV_1,LASTSURVEY,LEAKSURV_2,SURVEYAREA,TARGETMONT,COMMENTS,SURVEYCYCL,HCA,SHAPE_Leng,Polygon,FID_techFi,OBJECTID__,Survey_Typ,Leak_Locat,Leak_Grade,Marked_Fla,Leak_Loc_1,Probable_S,Gas_In,Surface_Ty,CGI_Test_G,CGI_Test_L,CGI_Test_P,Detected_B,Meter_Numb,Confirm_Me,House_Numb,Street,Street_2,Apt_Suite,City,Comments_1,Survey_Yea,Survey_Con,Grade_1_No,PRESSURETY,CreationDa,Creator,EditDate,Editor,NOTIFICATI,REPORTNUMB,NOTSTATUS,Work_Locat,X,Y,geometry
32,8,18,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,25021.9001445,18,132,21787,3 Year,Underground,Grade 3,Yes,<Null>,Service,Curb,Concrete,<Null>,<Null>,10,Flame Pack,<Null>,<Null>,2515,6TH AVE S,<Null>,A,<Null>,Apt/Unit A,2020,Southern Cross,<Null>,<Null>,2020-03-17,Vladimere.Bohemond1,2020-03-17,Vladimere.Bohemond1,10580628,9200021787,<Null>,<Null>,-86.793357,33.51039,"c(-86.793357, 33.51039)"
33,8,18,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,25021.9001445,18,172,22161,3 Year,Underground,Grade 3,Yes,Service Riser,Service,10' - 20' FRM Building,Unsurfaced,<Null>,<Null>,99,Flame Pack,ra3486,ra3486,720,29th St S,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2020-03-27,Xavier.Patton1,2020-03-27,Xavier.Patton1,10580946,9200022161,<Null>,<Null>,-86.787115,33.51101,"c(-86.787115, 33.5110100000001)"
34,8,18,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,25021.9001445,18,173,22162,3 Year,Underground,Grade 2,Yes,<Null>,Service,Storm Manhole,Concrete,<Null>,35,<Null>,Flame Pack,<Null>,<Null>,714,29th St S,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2020-03-27,Vladimere.Bohemond1,2020-03-27,Vladimere.Bohemond1,10580947,9200022162,<Null>,<Null>,-86.787064,33.511178,"c(-86.787064, 33.511178)"
35,8,18,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,25021.9001445,18,190,22902,3 Year,Underground,Grade 2,Yes,<Null>,Main,Curb,Concrete,<Null>,56,<Null>,CGI,riser,<Null>,2410,4th Ave S,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2020-04-07,leighton.landrum1,2020-04-07,leighton.landrum1,10581718,9200022902,<Null>,<Null>,-86.796275,33.51192,"c(-86.796275, 33.51192)"
39,8,18,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,25021.9001445,18,192,22912,3 Year,Underground,Grade 1,Yes,<Null>,Main,<10' FRM Building,Unsurfaced,9,<Null>,<Null>,CGI,cb8614,<Null>,2516,3rd ave s,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2020-04-07,leighton.landrum1,2020-04-07,leighton.landrum1,10581210,9200022912,<Null>,<Null>,-86.795153,33.513595,"c(-86.795153, 33.5135950000001)"
40,8,18,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,25021.9001445,18,178,22811,3 Year,Underground,Grade 3,Yes,<Null>,Main,Curb,Unsurfaced,<Null>,<Null>,25,Flame Pack,<Null>,<Null>,2820,2ND AVE S,<Null>,<Null>,Birmingham,<Null>,2020,Southern Cross,<Null>,<Null>,2020-04-15,Vladimere.Bohemond1,2020-04-15,Vladimere.Bohemond1,10581690,9200022811,<Null>,<Null>,-86.797469,33.513723,"c(-86.797469, 33.513723)"
41,8,18,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,25021.9001445,18,136,21812,3 Year,Underground,Grade 2,Yes,Service,First Cut Regulator,<10' FRM Building,<Null>,6,<Null>,<Null>,Flame Pack,<Null>,<Null>,2824,5th Ave S,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2020-03-17,Vladimere.Bohemond1,2020-03-20,chris.wright1,10580640,9200021812,<Null>,<Null>,-86.789429,33.51391,"c(-86.789429, 33.5139100000001)"
42,8,18,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,25021.9001445,18,137,21813,3 Year,Underground,Grade 1,Yes,<Null>,Service,<10' FRM Building,Unsurfaced,6,<Null>,<Null>,<Null>,<Null>,<Null>,2824,5th Ave S,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2020-03-17,Vladimere.Bohemond1,2020-03-20,chris.wright1,10580338,9200021813,<Null>,<Null>,-86.789415,33.51393,"c(-86.789415, 33.5139300000001)"
44,8,18,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,25021.9001445,18,176,22466,3 Year,Underground,Grade 3,Yes,Service Riser,Service,<10' FRM Building,Concrete,<Null>,<Null>,78,Soap,ba828326,ba828326,3400,7th court south,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2020-04-03,Xavier.Patton1,2020-04-03,Xavier.Patton1,10581178,9200022466,<Null>,<Null>,-86.780328,33.514668,"c(-86.7803279999999, 33.514668)"
46,8,18,BGH 3YR A,NA,NA,NA,NA,NA,NA,NA,N,25021.9001445,18,199,23154,3 Year,Underground,Grade 2,Yes,<Null>,Main,Curb,Concrete,<Null>,47,<Null>,Flame Pack,<Null>,<Null>,2900,4th ave S,<Null>,<Null>,<Null>,<Null>,2020,Southern Cross,<Null>,<Null>,2020-04-24,Vladimere.Bohemond1,2020-04-24,Vladimere.Bohemond1,10582014,9200023154,<Null>,<Null>,-86.78967,33.515142,"c(-86.7896699999999, 33.515142)"
