,Time Stamp,CH4 (ppm),C2H6 (ppb),R,C2/C1,ch4Enhcmt,totDist,length,lrate,npeaks,Latitude,Longitude
0,06/17/2020 23:55:27.283,2.5956,10.766,0.962,0.011,0.596,323.2,36,16.6,4,33.7074241638,-86.5874023438
1,06/16/2020 00:22:28.974,2.16846,4.596,0.821,0.011,0.169,278.5,18,2.4,2,33.7173080444,-86.575378418
2,06/18/2020 00:18:32.857,2.7688,17.681,0.983,0.011,0.781,286.9,22,87.3,5,33.7242889404,-86.5617599487
3,06/17/2020 23:57:29.139,2.85338,18.597,0.993,0.015,0.841,268.2,15,19.1,5,33.7183189392,-86.5740966797
4,06/16/2020 00:45:24.513,2.28279,10.001,0.865,0.01,0.261,339.0,19,5.3,4,33.7110328674,-86.5828857422
5,06/17/2020 23:47:54.060,3.62448,31.448,0.996,0.014,1.602,134.5,8,44.9,3,33.7068328857,-86.5883407593
6,06/17/2020 00:50:12.753,2.50376,8.729,0.97,0.01,0.461,116.2,8,7.4,1,33.7069778442,-86.5881271362
7,06/16/2020 00:21:27.534,2.08739,2.578,0.784,0.016,0.09,121.2,8,0.8,1,33.7115783691,-86.5820770264
8,06/17/2020 00:25:57.752,2.13134,6.762,0.898,0.021,0.109,140.2,24,1.0,1,33.7183456421,-86.5688323975
9,06/17/2020 00:47:30.449,2.42948,7.793,0.939,0.008,0.386,241.5,14,6.6,1,33.714099884,-86.5788421631
10,06/17/2020 23:58:14.195,2.17288,10.387,0.838,0.023,0.148,174.3,11,1.8,1,33.7216072083,-86.5675125122
11,06/18/2020 00:10:41.715,2.05279,11.108,0.836,0.026,0.085,78.3,7,0.8,1,33.7389755249,-86.5800628662
12,06/18/2020 00:15:53.113,2.0055,8.86,0.754,0.022,0.021,57.1,6,0.1,1,33.7279701233,-86.5555725098
