OP_NUM,OP_EPOCHSTART,OB_EPOCH,OB_DATETIME,OB_CH4,OB_LON,OB_LAT,OB_CH4_BASELINE,OB_CH4_THRESHOLD,OP_PEAK_DIST_M,OP_PEAK_CH4,OB_TCH4,OB_C2H6,OB_C2C1,OB_R,OB_C2H6_BASELINE,OB_PERIOD5MIN,ODOMETER,OB_U_AVG,OB_V_AVG,OB_W_AVG,OB_R_AVG,OB_THETA_AVG,OP_DISTANCE,Frequency,minElevated,OB_CH4_AB,OB_C2H6_AB
Spire_1606908382.3,1606908382.3,1606908382.3,20201202112622,3.91644,-86.8227386475,33.5654335022,3.70807,3.8934735000000003,0.0,0.0,3.91644,6.66096,0.00123115,0.8018489999999999,6.0587300000000015,8563612,10.405053471880745,0.798381,1.251565505118576,11.278633429611453,0.3833333333333335,11.347862717408585,0.0,1,1,0.20836999999999994,0.6022299999999987
Spire_1606908884.5,1606908884.5,1606908884.5,20201202113444,3.8948,-86.8228530884,33.5603942871,3.6585125,3.841438125,0.0,0.0,3.8948,5.54725,0.00897454,0.8626520000000001,4.2553725,8563629,26.87221470622775,0.818852,13.882172434224207,20.70260659662764,1.333333333333333,24.9261435322086,0.284184358336411,2,1,0.23628749999999998,1.2918775
Spire_1606908884.5,1606908884.5,1606908885.5,20201202113445,3.87514,-86.82284545899998,33.5605125427,3.655385,3.83815425,13.168411957977545,2.8938243698253574,3.87514,6.8345699999999985,0.00941414,0.886177,4.2087650000000005,8563629,27.156399064564162,0.8626520000000001,13.714742547601436,20.92422774556481,1.325333333333333,25.01834266883507,0.284184358336411,2,1,0.21975500000000014,2.625804999999998
Spire_1606908920.4,1606908920.4,1606908920.4,20201202113520,3.8032,-86.8238449097,33.5632400513,3.599845,3.77983725,0.0,0.0,3.8032,4.32276,0.000816697,0.816241,3.575135,8563630,14.696535520652759,0.810724,11.78444023819583,7.88106878546631,0.8059999999999998,14.176892357948566,0.5390233407822063,2,1,0.20335499999999973,0.7476249999999998
Spire_1606908920.4,1606908920.4,1606908921.4,20201202113521,3.804780000000001,-86.8238601685,33.563304901100004,3.599445,3.77941725,7.348262202610261,1.50885541937298,3.804780000000001,4.32505,0.0008035280000000001,0.810805,3.575135,8563630,14.157512179870553,0.816241,11.37341278036134,7.737167876332278,0.7783333333333332,13.755663743310786,0.5390233407822063,2,1,0.20533500000000116,0.7499150000000001
Spire_1606909115.2,1606909115.2,1606909115.2,20201202113835,3.77923,-86.82105255129999,33.560981750500005,3.59486,3.774603,0.0,0.0,3.77923,5.25217,0.00100745,0.747467,3.85529,8563637,5.125292236603451,0.740985,-9.399889207385517,5.096345100706123,0.4306666666666667,10.692551168762954,10.971315593789292,6,1,0.18436999999999992,1.3968799999999995
Spire_1606909115.2,1606909115.2,1606909116.3,20201202113836,3.7774,-86.82104492190003,33.560955047600004,3.5942199999999995,3.7739309999999997,3.052221721177438,0.5591059748852835,3.7774,5.39815,0.00103715,0.751726,3.8372349999999997,8563637,6.823522926441791,0.747467,-9.44857845530992,4.792569149419001,0.4316666666666667,10.59454358989143,10.971315593789292,6,1,0.18318000000000056,1.5609150000000005
Spire_1606909115.2,1606909115.2,1606909117.3,20201202113837,3.775630000000001,-86.8210601807,33.5609207153,3.5939000000000005,3.7735950000000007,7.123203626661542,1.2989255165689095,3.775630000000001,5.68266,0.00107295,0.75748,3.8282075,8563637,9.865975361413783,0.751726,-9.551472349176027,4.451573286748523,0.4346666666666667,10.537890147670323,10.971315593789292,6,1,0.1817300000000004,1.8544525000000003
Spire_1606909115.2,1606909115.2,1606909118.3,20201202113838,3.7741,-86.8210906982,33.560874939,3.59358,3.773259,12.946001512451126,2.3500569909116433,3.7741,5.0801,0.00108729,0.764969,3.81918,8563637,12.810383731760462,0.75748,-9.432049111347412,4.055147992515357,0.4333333333333334,10.266828900886136,10.971315593789292,6,1,0.18051999999999957,1.26092
Spire_1606909115.2,1606909115.2,1606909119.3,20201202113839,3.77877,-86.821144104,33.5608291626,3.5945399999999994,3.7742669999999987,20.045078326505358,3.657919912364857,3.77877,5.48378,0.00111306,0.713709,3.795415,8563637,14.505307018857335,0.764969,-9.187998915298751,3.726043323450196,0.4430000000000001,9.914772963399557,10.971315593789292,6,1,0.18423000000000078,1.6883650000000001
Spire_1606909115.2,1606909115.2,1606909120.4,20201202113840,3.7795,-86.8211975098,33.5607795715,3.5952300000000004,3.7749915,27.45419672879788,5.0231981603552995,3.7795,5.36814,0.00111063,0.733913,3.77165,8563637,16.096607830392742,0.713709,-8.914234864182053,3.261798720216931,0.4570000000000001,9.492255480390718,10.971315593789292,6,1,0.1842699999999997,1.5964900000000002
Spire_1606909129.6,1606909129.6,1606909129.6,20201202113849,3.78518,-86.82188415530001,33.5602340698,3.60418,3.784389,0.0,0.0,3.78518,4.6117599999999985,0.0010758,0.8784780000000001,3.90274,8563637,21.500917803759705,0.877064,-4.615000707996872,-4.054133965398735,0.5250000000000001,6.1428196900292695,0.0,1,1,0.18100000000000005,0.7090199999999984
Spire_1606909404.5,1606909404.5,1606909404.5,20201202114324,3.83974,-86.8235778809,33.557773590100005,3.64429,3.8265045,0.0,0.0,3.83974,5.52535,0.000937097,0.828883,3.44141,8563646,4.122218397174366,0.8668959999999999,2.0000902271953707,-3.6476097064299684,0.3960000000000001,4.159978063327324,3.2633650748427687,5,1,0.19545000000000012,2.0839400000000006
