DATE,TIME,SECONDS,NANOSECONDS,VELOCITY,U,V,W,BCH4,BRSSI,TCH4,TRSSI,PRESS_MBAR,INLET,TEMPC,CH4,H20,C2H6,R,C2C1,BATTV,POWMV,CURRMA,SOCPER,LAT,LONG,bearing,U_cor,horz_length,adj_theta,totalWind,phi,raw_CH4,raw_R,U_avg,V_avg,W_avg,r_avg,theta_avg,distance,odometer
2020-12-02,11:24:07,1606908247,953000000,1.2,0.97,0.1,0.31,3.90899,0,3.90899,0,239.972,0,99.0,3.90899,5596.52,17.8303,0.0,-1.0,12451,13313,294,91,33.5623397827,-86.8237762451,,2.17,2.1723029254687294,,2.194310825749169,1.139376214863982,3.9019800000000004,0.0,,,,,,,
2020-12-02,11:24:08,1606908248,977000000,0.97,0.92,0.0,0.29,3.9072400000000003,0,3.9072400000000003,0,240.023,0,99.0,3.9072400000000003,5594.86,17.4109,0.0,-1.0,12451,13313,294,91,33.5623397827,-86.8237762451,0.0,1.8900000000000001,1.8900000000000001,3.9822503204123914,1.912119243143586,1.084140226512997,3.90899,0.0,,,,,,0.0,0.0
2020-12-02,11:24:10,1606908250,1000000,0.99,0.95,0.3,0.27,3.9098900000000003,0,3.9098900000000003,0,240.016,0,99.0,3.9098900000000003,5604.05,17.7458,0.0,-1.0,12424,13220,283,91,33.5623397827,-86.8237762451,0.0,1.94,1.9630588376307012,4.034850852358337,1.9815398053029365,1.0996498165582647,3.9072400000000003,0.0,,,,,,0.0,0.0
2020-12-02,11:24:26,1606908266,488000000,0.97,0.84,0.47,0.14,3.9123300000000003,0,3.9123300000000003,0,240.137,0,99.0,3.9123300000000003,5704.59,14.9864,-0.350391,-1.0,12442,13354,295,91,33.5623397827,-86.8237762451,0.0,1.81,1.8700267377767623,4.151178241971836,1.8752599819758327,1.079735376712979,3.91109,-0.29994699999999996,,,,,,0.0,0.0
2020-12-02,11:24:36,1606908276,728000000,0.98,0.95,0.8,0.24,3.9033599999999997,0,3.9033599999999997,0,239.967,0,99.0,3.9033599999999997,5763.47,13.8432,-0.29428499999999996,-1.0,12428,12831,287,91,33.5623397827,-86.8237762451,0.0,1.93,2.089234309501929,4.178648036362288,2.102974084481309,1.124378807495067,3.91145,-0.43511400000000006,,,,,,0.0,0.0
2020-12-02,11:24:37,1606908277,752000000,0.9,0.85,0.14,0.28,3.9006300000000005,0,3.9006300000000005,0,239.957,0,99.0,3.9006300000000005,5770.35,14.0026,-0.0196879,-1.0,12428,12831,287,91,33.5623397827,-86.8237762451,0.0,1.75,1.7555910685578233,4.0904560761913,1.7777795138880412,1.0530231680045243,3.9033599999999997,-0.29428499999999996,,,0.2526666666666667,,,0.0,0.0
2020-12-02,11:24:38,1606908278,776000000,0.98,0.95,0.2,0.23,3.8976599999999997,0,3.8976599999999997,0,239.94400000000002,0,99.0,3.8976599999999997,5774.3,13.7142,0.153727,-1.0,12449,13212,295,91,33.5623397827,-86.8237762451,0.0,1.93,1.9403350226185168,4.0140837262672004,1.9539191385520538,1.0949245754338812,3.9006300000000005,-0.0196879,-1.1848921623077338,0.5046771026305201,0.25000000000000006,1.2878930134983393,1.1681410936960477,0.0,0.0
2020-12-02,11:24:39,1606908279,800000000,1.29,1.24,0.29,0.14,3.89163,0,3.89163,0,240.018,0,99.0,3.89163,5774.69,13.5393,0.402564,-1.0,12433,13456,287,91,33.5623397827,-86.8237762451,0.0,2.5300000000000002,2.5465663156493688,2.5370687228969984,2.5504117314661174,1.1966113000821874,3.8976599999999997,0.153727,-1.0897055666686561,0.5324993209394329,0.24500000000000005,1.2128535562175733,1.116258989563232,0.42417528601596066,0.42417528601596066
2020-12-02,11:24:40,1606908280,824000100,2.5,2.47,0.31,0.19,3.89333,0,3.89333,0,240.084,0,99.0,3.89333,5771.36,12.4549,0.508787,-1.0,12446,13428,291,91,33.562343597399995,-86.8237762451,5.7761115909610865,4.970000000000001,4.979658622837514,8.209478327953466,4.983282051018184,1.3726153339865617,3.89163,0.402564,-0.8831137557256281,0.5492527934818324,0.24233333333333337,1.039984873303175,1.0143931192877425,1.4556972716773953,1.879872557693356
2020-12-02,11:24:41,1606908281,848000000,2.95,2.94,0.6,0.13,3.8869599999999997,0,3.8869599999999997,0,240.012,0,99.0,3.8869599999999997,5764.7,12.9052,0.631965,-1.0,12444,13390,287,91,33.5623512268,-86.82378387450001,5.9614523072721415,5.890000000000001,5.920481399345834,8.35170290817818,5.921908476158679,1.403470426315532,3.89333,0.508787,-0.6642380261343461,0.6170207116828242,0.23533333333333337,0.9066017394691184,0.8222337808430151,2.2355870019918687,4.115459559685225
2020-12-02,11:24:42,1606908282,872000000,3.84,3.78,0.69,0.1,3.8716800000000005,0,3.8716800000000005,0,239.965,0,99.0,3.8716800000000005,5770.55,13.1012,0.738738,-1.0,12435,13425,284,91,33.5623626709,-86.82378387450001,0.2053836626495154,7.619999999999999,7.6511763801392,2.5783363022667727,7.651829846513838,1.4408341426239777,3.8869599999999997,0.631965,-0.4819461161836543,0.8019007899667766,0.22633333333333336,0.9355837406955343,0.5411578976186356,3.4662532174000593,7.581712777085285
2020-12-02,11:24:43,1606908283,896000100,3.38,3.33,0.58,0.4,3.86714,0,3.86714,0,239.94799999999998,0,99.0,3.86714,5775.62,11.6385,0.833225,0.0978877,12442,13341,287,91,33.5623817444,-86.8237762451,0.321732864221034,6.71,6.735020415707735,2.7083710120968023,6.746888171594367,1.4233955621010344,3.8716800000000005,0.738738,-0.33408800275711686,0.9902436710546176,0.23133333333333336,1.045082447297803,0.3253877533331746,4.471173854791,12.052886631876284
2020-12-02,11:24:44,1606908284,920000000,2.57,2.46,0.73,0.6,3.86286,0,3.86286,0,240.002,0,99.0,3.86286,5763.73,10.9804,0.83852,0.0987794,12434,13336,281,91,33.5624008179,-86.82376861569999,0.7980261131652253,5.029999999999999,5.082696134926816,3.178648110991672,5.117987885878589,1.3765315873676802,3.86714,0.833225,-0.30110497131691705,1.1431320191139736,0.24100000000000005,1.1821230971753118,0.25755339642330793,7.898726236061129,19.951612867937413
2020-12-02,11:24:45,1606908285,944000000,1.66,1.59,0.46,0.13,3.8642199999999995,0,3.8642199999999995,0,240.048,0,99.0,3.8642199999999995,5755.29,12.2591,0.8725430000000001,0.0856286,12443,13275,281,91,33.5624313354,-86.82371521,1.0714249282623916,3.25,3.282392420171604,3.5268586124655537,3.284965753246143,1.2750736174049921,3.86286,0.83852,-0.3106473038094763,1.2399695392673629,0.23933333333333337,1.278290344825859,0.24547570574135405,8.857751138124218,28.80936400606163
2020-12-02,11:24:46,1606908286,968000000,1.58,1.57,0.12,0.15,3.8599900000000003,0,3.8599900000000003,0,240.02900000000002,0,99.0,3.8599900000000003,5745.13,11.7064,0.8962190000000001,0.08089600000000001,12443,13275,281,91,33.5624389648,-86.8236846924,1.1232529989015443,3.1500000000000004,3.152284885602823,3.6467692494693917,3.155851707542673,1.2636079066300923,3.8642199999999995,0.8725430000000001,-0.3352632569355947,1.3282445097153979,0.23900000000000005,1.3699032553578958,0.24724635945931323,3.920724400644153,32.73008840670578
2020-12-02,11:24:48,1606908288,94000000,1.93,1.9,0.33,0.9,3.8637300000000003,0,3.8637300000000003,0,240.043,0,99.0,3.8637300000000003,5736.58,11.1776,0.910842,0.078793,12437,13269,287,91,33.562446594200004,-86.82367706299999,1.0303504863548365,3.83,3.8441904219224106,3.488795296758968,3.9481388020179837,1.316303885538817,3.8599900000000003,0.8962190000000001,-0.3551358554199988,1.4462152588742223,0.2633333333333334,1.4891810000149506,0.2407976043970011,2.4732375699165763,35.20332597662236
2020-12-02,11:24:49,1606908289,118000000,2.75,2.68,0.63,0.2,3.86323,0,3.86323,0,239.956,0,99.0,3.86323,5730.85,10.7123,0.918784,0.0797185,12443,13290,290,91,33.5624504089,-86.8236618042,1.1232529300835412,5.43,5.466424791397023,3.5136662164209747,5.470082266291796,1.3898620340842738,3.8637300000000003,0.910842,-0.3945717359525115,1.6110838001965633,0.26200000000000007,1.6586976415454318,0.24018307148157728,3.9207238349145195,39.12404981153688
2020-12-02,11:24:50,1606908290,142000000,3.92,3.92,0.18,0.3,3.8588199999999997,0,3.8588199999999997,0,240.012,0,99.0,3.8588199999999997,5727.57,10.6345,0.930715,0.0805765,12433,13311,289,91,33.562461853,-86.82363891600001,0.8057734864545043,7.84,7.842066054299721,3.214376575571684,7.84780224011793,1.4439634184624546,3.86323,0.918784,-0.39115375747582803,1.8698433642970562,0.2633333333333334,1.9103181591015652,0.2062169074134175,4.899842491697572,44.02389230323445
2020-12-02,11:24:51,1606908291,166000100,4.28,4.24,0.53,0.24,3.87143,0,3.87143,0,239.968,0,99.0,3.87143,5722.92,10.9735,0.93778,0.0790596,12451,13408,295,91,33.5624809265,-86.82362365719999,0.4738268519222932,8.52,8.536468824988468,2.85444775352977,8.539841918911613,1.4541833520680405,3.8588199999999997,0.930715,-0.26340701786984394,2.122013524192166,0.2653333333333334,2.1382994771354036,0.12349897409329441,6.197012463028069,50.220904766262514
2020-12-02,11:24:52,1606908292,190000000,4.47,4.37,0.9,0.24,3.89465,0,3.89465,0,239.985,0,99.0,3.89465,5714.93,10.7872,0.9036879999999999,0.07944989999999999,12430,13284,288,91,33.5625114441,-86.8236083984,0.18309995256831965,8.84,8.885696371134904,2.5374784336814424,8.888936944314544,1.4587274498980172,3.87143,0.93778,-0.0607557537243796,2.354454336409468,0.2643333333333334,2.3552380949381666,0.025798875295887137,7.764954371446259,57.98585913770877
2020-12-02,11:24:53,1606908293,214000000,5.47,5.38,0.96,0.33,3.92047,0,3.92047,0,240.03900000000002,0,99.0,3.92047,5704.26,10.7427,0.780251,0.0779038,12449,13294,292,91,33.5625495911,-86.8236083984,6.132822768643062,10.85,10.892387249818103,8.480755147131944,10.89738500742265,1.4792457256956464,3.89465,0.9036879999999999,0.2568007651897443,2.563774548516754,0.2653333333333335,2.5766036887003643,-0.0998321271974594,9.438339626861572,67.42419876457035
2020-12-02,11:24:54,1606908294,238000000,4.86,4.64,1.34,0.47,3.9163699999999997,0,3.9163699999999997,0,240.02,0,99.0,3.9163699999999997,5703.58,10.5333,0.693166,0.0666716,12434,13244,283,91,33.5625953674,-86.82362365719999,6.00107777509933,9.5,9.59403981646939,8.325134389195865,9.605545273434508,1.4669399690939091,3.92047,0.780251,0.5755308995003445,2.7000253007430497,0.2716666666666668,2.7606833286221497,-0.2100144921784724,10.157539529936045,77.5817382945064
2020-12-02,11:24:55,1606908295,262000000,3.63,3.5,0.94,0.12,3.89961,0,3.89961,0,240.013,0,99.0,3.89961,5707.48,10.5123,0.62233,-1.0,12447,13212,288,91,33.5626373291,-86.82363891600001,5.961453391536075,7.13,7.19169660094195,8.314210358046768,7.192697685847779,1.432632982844031,3.9163699999999997,0.693166,0.8284783267572244,2.803702392580256,0.2663333333333334,2.92354638137771,-0.28731809813963555,8.942345102009511,86.5240833965159
