,LeakName,Longitude,Latitude,Verified,TimesSeen,maxDist,mn_maxc2h6_ab,mn_maxch4_ab,threshold,First_Time,geometry,win,POLYGON,LEAKNUM,PolyLK
28,Spire_1606827941.3,-86.81751472693237,33.56089549466925,False,1,8.22697789928182,5.6710650000000005,0.6568999999999998,0.05,2020-12-01 06:05:41,POINT (-86.81751472693237 33.56089549466925),True,P3,29,P3L29
29,Spire_1606828018.4,-86.81871130065198,33.56125744072428,True,2,24.235467106276,24.950545625000004,2.366699375,0.05,2020-12-01 06:06:58,POINT (-86.81871130065198 33.56125744072428),True,P3,30,P3L30
30,Spire_1606828113.8,-86.8164545555911,33.555927900745274,False,1,0.8483505736120962,2.33506875,1.6843837500000003,0.05,2020-12-01 06:08:33,POINT (-86.81645455559109 33.55592790074527),True,P3,31,P3L31
31,Spire_1606828168.2,-86.81572725198414,33.553366270274836,True,3,19.31752980029508,5.834017049999999,1.4554145,0.05,2020-12-01 06:09:28,POINT (-86.81572725198414 33.55336627027484),True,P3,32,P3L32
32,Spire_1606828195.8,-86.81496589263699,33.55262113275025,True,2,19.74567324091237,3.5452033333333333,1.7425208333333335,0.05,2020-12-01 06:09:55,POINT (-86.81496589263699 33.55262113275025),True,P3,33,P3L33
33,Spire_1606828280.2,-86.8167921416573,33.55322214464044,True,2,17.659569696743482,3.058062500000002,1.7906650000000002,0.05,2020-12-01 06:11:20,POINT (-86.8167921416573 33.55322214464044),True,P3,34,P3L34
34,Spire_1606828712.8,-86.81814649233883,33.559492725800844,True,2,9.576036129848296,9.942947499999997,1.4672787500000002,0.05,2020-12-01 06:18:32,POINT (-86.81814649233883 33.55949272580084),True,P3,35,P3L35
35,Spire_1606828854.4,-86.82242621336918,33.55797319408447,True,2,17.884783841927494,2.8038691666666664,1.2104241666666664,0.05,2020-12-01 06:20:54,POINT (-86.82242621336918 33.55797319408447),True,P3,36,P3L36
36,Spire_1606829273.4,-86.8215746363842,33.55849346419024,True,2,2.002765188860716,2.719553749999999,0.4454562499999997,0.05,2020-12-01 06:27:53,POINT (-86.8215746363842 33.55849346419024),True,P3,37,P3L37
37,Spire_1606829299.1,-86.82338361090609,33.55788031991992,True,2,15.504703897786515,3.2276800000000003,0.95073625,0.05,2020-12-01 06:28:19,POINT (-86.82338361090609 33.55788031991992),True,P3,38,P3L38
38,Spire_1606829376.1,-86.82181317084759,33.55699370908957,True,4,13.804871654630356,5.059267583333334,0.9864075,0.05,2020-12-01 06:29:36,POINT (-86.82181317084759 33.55699370908957),True,P3,39,P3L39
39,Spire_1606829399.6,-86.82151161802084,33.55621450630891,True,6,16.046899272707847,4.824496875,0.5307012500000002,0.05,2020-12-01 06:29:59,POINT (-86.82151161802084 33.55621450630891),True,P3,40,P3L40
40,Spire_1606829588.3,-86.81893300718453,33.55006757740506,True,6,11.806979506262698,18.17198590625,0.9502812500000002,0.05,2020-12-01 06:33:08,POINT (-86.81893300718453 33.55006757740506),True,P3,41,P3L41
41,Spire_1606829618.9,-86.81863674519495,33.54929278604815,True,4,13.63636066796285,12.151844166666665,1.1951450000000001,0.05,2020-12-01 06:33:38,POINT (-86.81863674519495 33.54929278604815),True,P3,42,P3L42
42,Spire_1606833703.3,-86.81958858785677,33.5560606565828,True,4,6.305821976743051,4.48702625,1.4812269999999998,0.05,2020-12-01 07:41:43,POINT (-86.81958858785677 33.5560606565828),True,P3,43,P3L43
43,Spire_1606834905.7,-86.82273096178646,33.551518089066754,False,1,14.848874430751696,4.390370000000001,1.8783400000000001,0.05,2020-12-01 08:01:45,POINT (-86.82273096178646 33.55151808906675),True,P3,44,P3L44
44,Spire_1606834939.5,-86.82234904911004,33.55056139508006,False,1,14.221032952041865,4.081248125000001,1.997455625,0.05,2020-12-01 08:02:19,POINT (-86.82234904911004 33.55056139508006),True,P3,45,P3L45
