OP_NUM,OP_EPOCHSTART,OB_EPOCH,OB_DATETIME,OB_CH4,OB_LON,OB_LAT,OB_CH4_BASELINE,OB_CH4_THRESHOLD,OP_PEAK_DIST_M,OP_PEAK_CH4,OB_TCH4,OB_C2H6,OB_C2C1,OB_R,OB_C2H6_BASELINE,OB_PERIOD5MIN,ODOMETER,OB_U_AVG,OB_V_AVG,OB_W_AVG,OB_R_AVG,OB_THETA_AVG,OP_DISTANCE,Frequency,minElevated,OB_CH4_AB,OB_C2H6_AB
Spire_filter_1606993436.9,1606993436.9,1606993436.9,20201203110356,1.90044,-86.81907653809998,33.5458526611,1.7523540000000002,1.8399717,0.0,0.0,1.90044,4.46631,-1.0,0.432239,3.3917040000000003,8566447,15.230915288796053,0.432239,-13.811296278704386,-8.669778286634301,1.0300000000000016,16.306960490463855,10.209376426801509,2,1,0.14808599999999972,1.0746059999999997
Spire_filter_1606993436.9,1606993436.9,1606993438.1,20201203110358,2.13899,-86.8191299438,33.545845031700004,1.738506,1.8254313,5.021538861994544,2.0110459696070238,2.13899,5.07908,-1.0,0.38015,8.76534,8566447,5.021538861994544,0.38015,-13.18423071991708,-8.530594204231997,0.9870000000000017,15.703342865558332,10.209376426801509,2,1,0.40048400000000006,-3.68626
Spire_filter_1606994059.7,1606994059.7,1606994059.7,20201203111419,1.8725,-86.8221511841,33.5577011108,1.7389139999999998,1.8258597,0.0,0.0,1.8725,12.0166,0.00341053,0.929522,8.77833,8566468,16.28399080429628,0.929522,-8.362044592083986,3.6244094939689444,0.6586666666666663,9.113733260304103,0.0,1,1,0.1335860000000002,3.23827
Spire_filter_1606995240.6,1606995240.6,1606995240.6,20201203113400,1.97874,-86.8158721924,33.5507698059,1.7167680000000003,1.8026064000000008,0.0,0.0,1.97874,8.661010000000001,0.00220237,0.848613,8.639428,8566508,11.028680970661506,0.848613,9.227037309390246,4.86607683425016,0.6413333333333312,10.43153494293652,0.0,1,1,0.26197199999999965,0.021582000000000434
Spire_filter_1606995805.4,1606995805.4,1606995805.4,20201203114325,1.9154,-86.81502532959999,33.5525512695,1.5800260000000002,1.6590273000000002,0.0,0.0,1.9154,11.3896,0.00316085,0.973921,9.798784,8566526,8.942438932515794,0.973921,-10.48692627155328,-5.343466318466034,0.7513333333333311,11.769802671309971,9.178453468943678,4,1,0.33537399999999984,1.5908160000000002
Spire_filter_1606995805.4,1606995805.4,1606995808.4,20201203114328,1.79591,-86.81497192379999,33.5524253845,1.5800260000000002,1.6590273000000002,14.846889898362708,3.2052059788181313,1.79591,10.7128,0.00318587,0.974611,9.798784,8566526,13.01195149373673,0.974611,-11.520854052570796,-5.938386509321218,0.8033333333333309,12.961269707660787,9.178453468943678,4,1,0.21588399999999974,0.9140160000000002
Spire_filter_1606995805.4,1606995805.4,1606995809.5,20201203114329,1.7657599999999998,-86.8149490356,33.5523643494,1.59251,1.6721355,21.957388775247,4.437099909238332,1.7657599999999998,10.6222,0.00318697,0.97805,9.95098,8566526,15.649276603597105,0.97805,-11.941119685079846,-6.209496034583991,0.8363333333333309,13.459129999257595,9.178453468943678,4,1,0.17324999999999968,0.6712199999999999
Spire_filter_1606995805.4,1606995805.4,1606995810.5,20201203114330,1.7368599999999998,-86.8149185181,33.5522918701,1.61399,1.6946895,30.49848527186478,5.486544435777757,1.7368599999999998,10.3342,0.00318348,0.980801,9.944782,8566526,18.12089240145947,0.980801,-12.357347079774748,-6.4178107259924815,0.8669999999999977,13.92452230292593,9.178453468943678,4,1,0.12286999999999981,0.38941799999999915
Spire_filter_1606995833.5,1606995833.5,1606995833.5,20201203114353,1.91742,-86.81446838379999,33.5513534546,1.60587,1.6861635,0.0,0.0,1.91742,11.0936,0.00298084,0.961066,9.66973,8566527,3.297961669864893,0.961066,-9.349145452977616,-4.94545250796361,0.6459999999999978,10.57657889912686,1.0023088848987807,2,1,0.31155,1.4238700000000009
Spire_filter_1606995833.5,1606995833.5,1606995834.7,20201203114354,1.8824,-86.81446838379999,33.5513534546,1.613086,1.6937403000000002,0.0,0.0,1.8824,10.4315,0.00303013,0.965817,9.69951,8566527,4.3002705547636735,0.965817,-8.931740963059934,-4.5308076419544525,0.6416666666666644,10.015199175233397,1.0023088848987807,2,1,0.26931400000000005,0.7319899999999997
Spire_filter_1606995849.4,1606995849.4,1606995849.4,20201203114409,1.92108,-86.814743042,33.5520362854,1.632664,1.7142971999999999,0.0,0.0,1.92108,10.3221,0.00331874,0.985152,9.862062,8566528,20.120502276433005,0.985152,0.1870511670225706,0.5577775222095961,0.4919999999999978,0.5883059606758901,0.802942491881538,2,1,0.288416,0.46003800000000084
Spire_filter_1606995849.4,1606995849.4,1606995850.4,20201203114410,1.88725,-86.814781189,33.552120208699996,1.6385,1.720425,9.978958716818514,2.4822659808086063,1.88725,10.5571,0.00330095,0.985517,9.8315,8566528,19.317559784551467,0.985517,0.7916132535708719,0.8696003136437018,0.4946666666666644,1.1759490842371898,0.802942491881538,2,1,0.24875000000000003,0.7256
Spire_filter_1606995882.2,1606995882.2,1606995882.2,20201203114442,1.93856,-86.8154220581,33.5536499023,1.79794,1.887837,0.0,0.0,1.93856,11.0444,0.00355796,0.946781,9.74418,8566529,14.447642794617815,0.946781,7.074977660433401,3.81114598993644,0.4849999999999978,8.036177116778866,5.270875776855027,3,1,0.14061999999999997,1.3002199999999995
Spire_filter_1606995882.2,1606995882.2,1606995883.2,20201203114443,1.92773,-86.8154525757,33.5537185669,1.802412,1.8925326,8.14204628846381,1.0203449567777079,1.92773,11.5271,0.00356964,0.952572,9.711762,8566529,17.482972433952888,0.952572,7.1536947756459766,3.867495123463313,0.4949999999999978,8.132211720873789,5.270875776855027,3,1,0.12531800000000004,1.8153380000000006
